sample_idx,video_id,condition,claim_id,claim_text,rule_claim_type,rule_support_source,rule_is_supported,generated_text,human_claim_type,human_support_source,human_is_supported,human_notes
3414,GvGlDimlZxc,wo_video,1,"In that case, I would recommend 'Nothing Remains by Like A Storm'.",metadata,metadata-supported,1,"In that case, I would recommend 'Nothing Remains by Like A Storm'. This track combines elements of rock, metal, and electronic genres, which will give your video a powerful and intense sound. It's a great choice if you're looking for a recommendation that incorporates rock and metal styles.",metadata,metadata-supported,1,agree: metadata-supported claim
348,6WpF3T7_-WY,full,2,It's a track from Diez Mo's album 'Poser'.,metadata,metadata-supported,1,"I suggest checking out 'Poser' by Diez Mo feat. It's a track from Diez Mo's album 'Poser'. This song combines hip-hop, electronic, and soul elements with a dance vibe. It was released in 2014 and has a catchy beat and energetic vocals that could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
3705,SQZT17IAxeA,wo_audio_all,4,"Although I don't have much information about this specific track, it aligns with your interest in indie",preference,preference-supported,1,"Allow me to recommend 'Indie & Dance' by The Runners. It's a track that combines elements of indie and dance music with synth and vocal effects. Although I don't have much information about this specific track, it aligns with your interest in indie and dance music, as well as synth and vocal effects.",preference,preference-supported,1,agree: preference claim with LTP present
2688,7Rd-wFSnrTY,wo_ltp,1,<EMPTY_GENERATION>,unknown,unsupported,0,"s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,",unknown,unsupported,0,agree: property claim unsupported in erased condition
357,aXgXFr89wpY,wo_video,2,It's a track from their album 'The Way I Am'.,metadata,metadata-supported,1,"Allow me to recommend 'The Way I Am' by J3. It's a track from their album 'The Way I Am'. It combines elements of hip-hop, rock, and electronic beats with male vocals. It was recorded in 2012 and has a unique and distinctive sound that could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
916,kqK-Ovwua30,wo_audio_feature_only,2,"It's a track that combines elements of rock, pop",audio,audio-supported,0,"In that case, I would recommend 'The Piano Guys' for your wedding. It's a track that combines elements of rock, pop, and indie with a more ambient and indie feel. It's a perfect choice for your wedding video, as it incorporates all the elements you're looking for.",audio,audio-supported,0,agree with rule on audio claim
2088,ZRntURxcjYg,full,4,alternative with a touch of punk.,unknown,unsupported,0,"Allow me to recommend 'The Way I Am' by Ana Johnsson. It's a track from her album 'The Way I Am'. The song combines elements of rock, indie, and alternative with a touch of punk. It has a guitar-driven sound and features female vocals, which aligns well with the rock and indie influences you're looking for.",unknown,unsupported,0,agree: property claim unsupported in erased condition
559,1fMjQttld5U,wo_audio_all,5,This could be a fitting choice for your video.,general,general-supported,1,"Allow me to recommend 'Marina Elali' by Marina Elali. It's a pop and rock track with electronic and female vocal influences. Although I don't have much information about this specific track, Marina Elali is known for her pop and rock style with electronic and female vocal influences. This could be a fitting choice for your video.",general,general-supported,1,agree: generic/recommend statement
777,T56LFxaEJV8,wo_ltp,2,is is that is that is that is that is that is that.,unknown,unsupported,0,.. is is. is is. is is. for. is is is. for. is is is. for. is is is. for. and is is. is. is is. is is. for. is is. is is. is is is. is is is is is is that is is is that. is is that is that is that is that is that is that. that is that is that. that' that' that. that. that' that. that' that' that. that. that' that' that' that' that' that' that' that' that' that' that,unknown,unsupported,0,agree: property claim unsupported in erased condition
1509,rVO2byp-tWg,wo_video,3,it features a female vocalist.,audio,audio-supported,1,"In that case, I would recommend 'Hüftgold by Miss Platnum feat'. This track has a mainstream and contemporary sound, and it features a female vocalist. It's part of the album 'Hüftgold by Miss Platnum feat'.",audio,audio-supported,1,agree with rule on audio claim
2682,bnuOm-tHi9U,wo_video,3,"The song combines elements of folk, jazz",audio,audio-supported,1,"Allow me to recommend 'Permanent Fish' by Permanent Fish. It's a track from their album 'Permanent Fish'. The song combines elements of folk, jazz, and pop with a slower tempo and female vocals. It was recorded in 2013, which may contain the specific elements you want.",audio,audio-supported,1,agree with rule on audio claim
3225,QtCxsZNx8pE,wo_audio_feature_only,4,It has a unique style that could be a fitting choice for your video.,general,general-supported,1,"Allow me to recommend 'Couturier' by Couturier. It's a track that combines elements of electronic, rock, and techno with experimental influences. It has a unique style that could be a fitting choice for your video.",general,general-supported,1,agree: generic/recommend statement
1603,l3IbMrnSJtM,wo_ltp,1,that that that that.,unknown,unsupported,0,this. this morning. this morning. that. this morning. this morning. this morning. that. this morning. this morning. this morning. this morning. that. this morning. that. that. that. that. that. that that. that. that that that that. that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that,unknown,unsupported,0,agree: property claim unsupported in erased condition
256,JOUczfMaLTE,wo_video,1,I recommend 'Juaninacka' by Juaninacka.,metadata,metadata-supported,1,"I recommend 'Juaninacka' by Juaninacka. It's a track that combines elements of hip-hop, electronic, and rock genres. The song has a chillout and rock vibe, which could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
457,_MV0BuKm0VE,wo_ltp,1,<EMPTY_GENERATION>,unknown,unsupported,0,for. is is for. is for. is. for. is for. for. for is for. for. for is for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? for? that'? that'? that'? that'? that'? that'? that' that'? that' that? that' that? that' that? that,unknown,unsupported,0,agree: property claim unsupported in erased condition
3506,raE8dGyRTXQ,wo_video,5,"electronic, which align with your preferences.",preference,preference-supported,1,"Certainly! I recommend 'Buffalo Stars' by Lelia Broussard. This track features a strong vocal performance and has a guitar backing. It falls under the genres of pop, rock, indie, and electronic, which align with your preferences. It's a great choice for your video.",preference,preference-supported,1,agree: preference claim with LTP present
1896,kt2lmbNPFk4,full,3,"It combines elements of hip-hop, electronic",audio,audio-supported,1,"Allow me to recommend 'Keep Your Head Down' by TVXQ! It's a track from their album 'Keep Your Head Down'. It combines elements of hip-hop, electronic, and pop with a dance vibe. The song has a fast-paced and energetic sound that could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
1509,rVO2byp-tWg,wo_prompt,1,I recommend 'Hüftgold' by Miss Platnum feat.,metadata,metadata-supported,1,"I recommend 'Hüftgold' by Miss Platnum feat. It's a pop and electronic track with female vocals. The song has a dance and indie influence, which aligns well with the energetic and vibrant vibe you're looking for in your video.",metadata,metadata-supported,1,agree: metadata-supported claim
3290,6fAbkc0sdtA,wo_audio_all,4,It has a techno,audio,audio-supported,0,"Certainly, I recommend 'Chillout' by The Chillout Crew. It's a track that combines elements of Hip-Hop, electronic, and rock with chillout vibes and female vocalists. It has a techno and fast-paced beat that could be a fitting choice for your video.",audio,audio-supported,0,agree with rule on audio claim
1434,Gzse71YV_-Q,wo_audio_all,2,"It's a track that combines elements of hip-hop, electronic, dance",audio,audio-supported,0,"I suggest checking out 'Funny How I Met Your Mother's Music Video'. It's a track that combines elements of hip-hop, electronic, dance, and pop with a touch of funk and dance. Although I don't have much information about this specific track, it might be worth exploring as it aligns with the genres you mentioned.",audio,audio-supported,0,agree with rule on audio claim
3290,6fAbkc0sdtA,wo_audio_all,2,"It's a track that combines elements of Hip-Hop, electronic",audio,audio-supported,0,"Certainly, I recommend 'Chillout' by The Chillout Crew. It's a track that combines elements of Hip-Hop, electronic, and rock with chillout vibes and female vocalists. It has a techno and fast-paced beat that could be a fitting choice for your video.",audio,audio-supported,0,agree with rule on audio claim
889,4iY51ffFXYo,full,4,"rock, which aligns well with the style you're looking for.",prompt,prompt-supported,1,"Certainly! I recommend 'Mike Black' by Mike Black. It's a track from his album 'Mike Black'. The song combines elements of hip-hop, electronic, and rock, which aligns well with the style you're looking for. It was released in 2012 and has a fast-paced and energetic vibe.",prompt,prompt-supported,1,agree: prompt available
2378,2WzHhtkF8JM,wo_audio_all,3,It has a pop,unknown,unsupported,0,"In that case, I recommend '[Girls' Generation] by 4Minute. It's a pop and dance track with a female vocalist. It has a pop and dance vibe with a female vocalist, which aligns with your preferences. It's a track that can be used in a music video.",unknown,unsupported,0,agree: property claim unsupported in erased condition
3980,saTEJs6bLos,wo_audio_all,3,"It combines elements of Hip-Hop, electronic",audio,audio-supported,0,"Allow me to recommend 'Perez' by Perez. It's a track from his album 'Perez'. It combines elements of Hip-Hop, electronic, and rock with experimental and indie influences. It has a unique style and features Perez's vocals. It could be a fitting choice for your video.",audio,audio-supported,0,agree with rule on audio claim
1835,i14CO18tEJA,wo_audio_feature_only,1,I don't have any specific recommendations for this video.,general,general-supported,1,"I don't have any specific recommendations for this video. However, I can suggest exploring the genre of Hip-Hop and its various subgenres. Hip-Hop is a genre that combines elements of electronic and fast beats with elements of rock and soul. It can be a fitting choice for your video, as it incorporates both the electronic and fast beats you're looking for, as well as the rock and soul elements.",general,general-supported,1,agree: generic/recommend statement
1269,KGmsoYvx7ng,wo_prompt,5,It would be a great fit for your video.,general,general-supported,1,"In that case, I would recommend 'The Slaughterhouse' by Dirge Eternal. This track falls under the genres of metal, rock, heavy metal, and hard rock. It has a fast-paced and loud sound with powerful guitar riffs and intense drums. It would be a great fit for your video.",general,general-supported,1,agree: generic/recommend statement
123,iWKoFZAX4MM,wo_audio_feature_only,7,It's a collaboration between The Wedding Presents,unknown,unsupported,0,"In that case, I would recommend 'The Wedding Song' by The Wedding Presents. This track is a collaboration between The Wedding Presents and The Wedding Presents. It's a blend of Hip-Hop and electronic music with a mix of genres like pop, rock, and dance. The Wedding Presents is a unique blend of Hip-Hop and electronic music with a mix of genres like pop, rock, and dance. It's a collaboration between The Wedding Presents and The Wedding Presents, which is a blend of Hip-H",unknown,unsupported,0,agree: property claim unsupported in erased condition
1333,sZNtPlWq5gI,full,2,"It's a classic Christmas song that combines elements of hip-hop, electronic",audio,audio-supported,1,"Allow me to recommend 'Christmas in Hollis' by Run-DMC. It's a classic Christmas song that combines elements of hip-hop, electronic, and rock genres. The song has a catchy beat and a festive atmosphere that could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
512,k3DP1RijqII,wo_prompt,5,energetic vibe that could be a great fit for your video.,audio,audio-supported,1,"I recommend 'Met mij zijn' by Darryl. It's a track from his album 'Met mij zijn'. The song combines elements of Hip-Hop, pop, and R&B with electronic and dance influences. It has a catchy and energetic vibe that could be a great fit for your video.",audio,audio-supported,1,agree with rule on audio claim
166,QKvUGxF7qzA,full,1,Allow me to recommend 'Stadt der Engel' by Massendefekt.,metadata,metadata-supported,1,"Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, punk, and alternative with a fast-paced and loud sound. It has guitar and techno influences that could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
1269,KGmsoYvx7ng,full,2,It's a track from their album 'Sin'.,metadata,metadata-supported,1,"Allow me to recommend 'Sin' by A＆D. It's a track from their album 'Sin'. It combines elements of heavy metal, hard rock, and punk, which could be a fitting choice for your video. It was released in 2013 and has a fast-paced and loud sound that aligns with your preferences.",metadata,metadata-supported,1,agree: metadata-supported claim
3905,H-W68B4KTVI,full,2,It's an electronic track with ambient,unknown,unsupported,0,Certainly! How about 'Sunrise' by Sara? It's an electronic track with ambient and chillout elements. The song features female vocals and was released in 2013. It could add a soothing and atmospheric touch to your video.,unknown,unsupported,0,agree: property claim unsupported in erased condition
1669,cWVri5XGGA8,wo_prompt,2,It's a track from their album 'CON MI TUMBAO'.,metadata,metadata-supported,1,"I recommend 'CON MI TUMBAO' by MOWLIHAWK featuring BIG MATO. It's a track from their album 'CON MI TUMBAO'. The song combines elements of Hip-Hop, electronic, and pop with a touch of rock. It has a fast-paced beat and synth sounds that give it an energetic vibe.",metadata,metadata-supported,1,agree: metadata-supported claim
3715,HalzeiAqMCs,wo_ltp,14,to the the morning.,unknown,unsupported,0,. is is for. is is for. is is for. and is for the city. and is for the city. and is is for the city. and the city. is for the city. is for the city. and is for the city. is for the city. and is for the city. and is for the city. and is much morning. and is for morning. and is for morning. and that's for morning. at the morning. to morning. to the. and that is. that. and that. that. that. to the. that. to the the morning. to the the morning,unknown,unsupported,0,agree: property claim unsupported in erased condition
1685,d1rpgmfOVMg,wo_prompt,6,"Britney Spears, which adds a unique touch to the music.",unknown,unsupported,0,"I recommend 'If You Seek Your Heart' by Taio Cruz featuring Britney Spears. It's a dance-pop track with electronic and house influences. The song has a fast-paced beat and catchy melodies that can add energy to your video. It's a collaboration between Taio Cruz and Britney Spears, which adds a unique touch to the music.",unknown,unsupported,0,agree: property claim unsupported in erased condition
2058,btRS8oEZTps,wo_prompt,3,"combines elements of Hip-Hop, electronic, dance, pop",audio,audio-supported,1,"I recommend 'It's Going Down' by Young Bam feat; 2 Chainz. It's a track from the album 'It's Going Down' and combines elements of Hip-Hop, electronic, dance, pop, and rock. The song has a fast-paced techno sound with male vocals, which could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
627,YIyiT96Ojqg,wo_prompt,2,It's a track from the album 'Vem com a firma Parte 2'.,metadata,metadata-supported,1,"I recommend 'Vem com a firma Parte 2' by MC Juninho da FVL. It's a track from the album 'Vem com a firma Parte 2'. The song combines elements of Hip-Hop, pop, and electronic music with female vocals. It has a catchy and energetic vibe that could be a great fit for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
3660,K2Tehu9FskU,wo_video,2,It's a track from their album 'Revelation Song'.,metadata,metadata-supported,1,"Allow me to recommend 'Revelation Song' by Steve and Sandi Padilla. It's a track from their album 'Revelation Song'. It combines elements of pop, indie, and rock with a focus on female vocals. It has a more vocal-focused sound that could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
1566,CXKRC8Bfy0M,wo_video,5,electronic beats that could be a fitting choice for your video.,audio,audio-supported,1,"Allow me to recommend 'Mutya Buena ft; Fallin'. It's a track from Mutya Buena's album 'Fallin'. It combines elements of dance, pop, and electronic music with female vocalists and electronic beats that could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
3689,mkPFefiDPsY,full,4,indie with female vocals,audio,audio-supported,1,"Allow me to recommend 'Seninle Bir Dünya Var' by Şebnem Ferah. It's a track from her album 'Seninle Bir Dünya Var'. The song combines elements of pop, rock, and indie with female vocals and guitar sounds. It was released in 2012 and may contain the specific elements you're looking for.",audio,audio-supported,1,agree with rule on audio claim
3905,H-W68B4KTVI,wo_ltp,6,I't's that's that's that's that's,unknown,unsupported,0,is is is is is is is is is is is is is is is is is is is is is is is is is is is is. is is is is is. is is is is is is is. is is is is is. and is. and is is is. and is is. I's. I's. I's. I's. I's. I's. I's. I's. I's. I's. I's that's that's. I't's that's that's that's that's,unknown,unsupported,0,agree: property claim unsupported in erased condition
2921,u_zXJNChISs,full,1,Allow me to recommend 'I Will Be' by Lisa Caruso.,metadata,metadata-supported,1,"Allow me to recommend 'I Will Be' by Lisa Caruso. It's a track from her album 'I Will Be'. It combines elements of indie, folk, and pop with slow and female vocals. This song could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
3015,RafrGEPAiQg,wo_audio_feature_only,5,It has a techno,audio,audio-supported,0,"I'm sorry, but I don't have any information about the specific track, album, or artist you mentioned. However, I can recommend 'Freestyle Kickass Riddim' by BIGA RANX. It's a track that combines elements of hip-hop, electronic, and dance with a fast-paced beat. It has a techno and electronic sound, which aligns with the style you're looking for. It's a track that could be a fitting choice for your video.",audio,audio-supported,0,agree with rule on audio claim
1455,XXgtN7TA1V8,wo_prompt,3,"The song combines elements of Hip-Hop, electronic, pop",audio,audio-supported,1,"I recommend 'Дежавю' by Just name. It's a track from their album 'Дежавю'. The song combines elements of Hip-Hop, electronic, pop, and rock, which aligns well with the energetic and electronic vibe you're looking for. It was released in 2013 and has a techno and synth-focused sound.",audio,audio-supported,1,agree with rule on audio claim
3601,0pzNkHgIdHk,wo_audio_all,5,You may find their music to be a fitting choice for your video.,general,general-supported,1,"I apologize for my lack of rock, soul, and blues elements in the music. Unfortunately, I don't have any specific recommendations that incorporate those genres. However, I can suggest exploring the music of artists like Eminem, who are known for their rock, soul, and blues influences. You may find their music to be a fitting choice for your video.",general,general-supported,1,agree: generic/recommend statement
313,z7Dy7s5tg2o,wo_audio_all,4,"Although I don't have specific information about the album or artists, the song itself aligns well with your preferences.",preference,preference-supported,1,"Certainly, I recommend 'I'm In Love With You' by The Saturdays. It's a track that combines elements of pop, dance, and electronic genres with a touch of house music. Although I don't have specific information about the album or artists, the song itself aligns well with your preferences.",preference,preference-supported,1,agree: preference claim with LTP present
780,5ZVQ6_Hd4zc,full,2,It's a track from their album 'Breezewax'.,metadata,metadata-supported,1,"Allow me to recommend 'Breezewax' by Breezewax. It's a track from their album 'Breezewax'. It combines elements of electronic, ambient, and chillout with female vocals. It was released in 2013 and may contain the specific elements you want.",metadata,metadata-supported,1,agree: metadata-supported claim
3003,0J808gIog1o,wo_audio_all,2,This track is a collaboration between 桜,unknown,unsupported,0,"In that case, I would recommend 'Sweet Talk' by 桜. This track is a collaboration between 桜 and 桜, and it features a powerful female vocal. It has a techno vibe and is part of the 桜's album '桜'. It's a great choice for your video.",general,general-supported,1,"human override: generic claim, not a specific assertion"
910,5lKPjuBuYDc,full,2,"dance vibe, I would recommend 'Happy' by Pharrell Williams.",metadata,metadata-supported,1,"Certainly! If you're looking for an electronic and dance vibe, I would recommend 'Happy' by Pharrell Williams. This track is a popular hit that has a catchy and upbeat sound. It falls under the genres of electronic, dance, pop, and indie, which will give your video a lively and energetic feel.",metadata,metadata-supported,1,agree: metadata-supported claim
1601,8_VrafS-ldU,full,1,How about 'Ducking' by Fadda Fox?,metadata,metadata-supported,1,Certainly! How about 'Ducking' by Fadda Fox? It's an electronic and dance track with elements of pop and indie. The song has a fast-paced beat and catchy melodies that could add a lively and energetic vibe to your video.,metadata,metadata-supported,1,agree: metadata-supported claim
916,kqK-Ovwua30,wo_audio_feature_only,1,"In that case, I would recommend 'The Piano Guys' for your wedding.",metadata,metadata-supported,1,"In that case, I would recommend 'The Piano Guys' for your wedding. It's a track that combines elements of rock, pop, and indie with a more ambient and indie feel. It's a perfect choice for your wedding video, as it incorporates all the elements you're looking for.",metadata,metadata-supported,1,agree: metadata-supported claim
2658,vIaH35-MLsk,wo_audio_feature_only,8,a mix of elements that could be a fitting choice for your video.,general,general-supported,1,"In that case, I would recommend 'Love Me' by J. Cole. It's a track from the album 'Love Me' by J. Cole. It's a catchy chorus and a bit more of a romantic vibe. The song combines elements of Hip-Hop, pop, and dance with a romantic vibe. It has a mix of genres and a mix of elements that could be a fitting choice for your video.",general,general-supported,1,agree: generic/recommend statement
2882,1yNEohtQSW8,wo_audio_feature_only,5,It may contain the specific elements you are looking for.,prompt,prompt-supported,1,"Allow me to recommend 'Mozart Opera Rock'. It's a track by Mozart Opera Rock. Although I don't have much information about this track, it is classified as rock and alternative with elements of pop, dance, and female vocals. It may contain the specific elements you are looking for.",prompt,prompt-supported,1,agree: prompt available
1226,VBDoZ0Tu5CI,full,2,dance track with electronic,unknown,unsupported,0,"Allow me to recommend 'Tú y yo' by Santaye. It's a pop and dance track with electronic and rock influences. The song features a female vocalist and was released in 2014. It aligns well with the pop, dance, and electronic genres you're looking for.",unknown,unsupported,0,agree: property claim unsupported in erased condition
3030,7dfx1xqgGMc,wo_ltp,2,that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that,unknown,unsupported,0,this is that is that was that for that. that. that. that. that? that that. that? that? that that? that? that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that,unknown,unsupported,0,agree: property claim unsupported in erased condition
2897,51UTOkFidXQ,full,2,It's a track from their album 'Don't Stop'.,metadata,metadata-supported,1,"Allow me to recommend 'Don't Stop' by Uniqplan. It's a track from their album 'Don't Stop'. It combines elements of electronic, dance, indie, and pop genres. The song has a fast-paced and energetic sound that could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
2834,5O5mdmyeeOs,wo_audio_feature_only,1,"In that case, I have a recommendation for you.",general,general-supported,1,"In that case, I have a recommendation for you. Although I don't have specific information about the track name, album name, or artist name, I can still provide you with a recommendation. Based on the description you provided, I recommend 'Hip Hop' by T.I.P. It's a track that combines elements of hip-hop, pop, and soul with a pop vibe. Although I don't have specific information about the track name, album name, or artist name, it can still provide you with a recommendation.",general,general-supported,1,agree: generic/recommend statement
553,ynVK3EsW9Ws,wo_prompt,3,synth-focused sound with male vocals.,audio,audio-supported,1,"In The Zone by LZ is a track that combines elements of Hip-Hop, electronic, rock, and pop. It has a techno and synth-focused sound with male vocals. This track could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
3300,fVFgTzPNGM8,wo_video,1,Allow me to recommend 'Cleanin' Out My Closet' by Eminem.,metadata,metadata-supported,1,"Allow me to recommend 'Cleanin' Out My Closet' by Eminem. It's a track from his album 'Cleanin' Out My Closet'. It combines elements of hip-hop, soul, and rock with a strong emotional message. It was released in 2002 and may contain the specific elements you want.",metadata,metadata-supported,1,agree: metadata-supported claim
1207,ItV4NVU0u6I,wo_video,4,indie with a focus on guitar,audio,audio-supported,1,"Allow me to recommend 'Nuestra Vida' by Nada Que Objetar. It's a track from their album 'Nuestra Vida'. It combines elements of indie rock, alternative, and indie with a focus on guitar and drum. It could be a fitting choice for your video.",audio,audio-supported,1,agree with rule on audio claim
410,q5bry6xHfxc,full,6,It was released in 2012,metadata,metadata-supported,1,"Certainly! How about 'New Oakland' by DJ Touré featuring Mistah Fab? It's a track that combines Hip-Hop, electronic, and R&B elements with a strong vocal presence. The song has a catchy beat and a mix of electronic and rock influences. It was released in 2012 and could be a fitting choice for your video.",metadata,metadata-supported,1,agree: metadata-supported claim
1333,sZNtPlWq5gI,wo_audio_all,1,Allow me to recommend 'Christmas Rap'.,general,general-supported,1,"Allow me to recommend 'Christmas Rap'. It's a track that combines elements of hip-hop, electronic, and rock genres, with a touch of holiday spirit. Although I don't have much information about this track, it seems to align well with your preferences.",general,general-supported,1,agree: generic/recommend statement
777,T56LFxaEJV8,wo_audio_all,1,I suggest checking out 'Stefano Ercolino - 70s'.,unknown,unsupported,0,"I suggest checking out 'Stefano Ercolino - 70s'. It's a track from Stefano Ercolino's album 'Stefano Ercolino - 70s'. It combines elements of classic rock and electronic music from the 70s, which could be a fitting choice for your video.",unknown,unsupported,0,agree: property claim unsupported in erased condition
3788,cv-jSWbgOKU,full,2,folk-inspired track with elements of rock,unknown,unsupported,0,Certainly! How about 'The Way I Am' by The Lumineers? It's an acoustic and folk-inspired track with elements of rock and indie. The song features female vocals and has a heartfelt and emotional vibe. It could be a fitting choice for your video.,unknown,unsupported,0,agree: property claim unsupported in erased condition
3414,GvGlDimlZxc,wo_prompt,5,It has a powerful,unknown,unsupported,0,"I recommend 'Nothing Remains' by Like A Storm. It's a track from their album 'Nothing Remains'. The song combines elements of rock, metal, and alternative with a touch of experimental music. It has a powerful and intense sound that could be a fitting choice for your video.",unknown,unsupported,0,agree: property claim unsupported in erased condition
3603,aloy-hdZ3CE,wo_video,1,I recommend 'True North' by The Crossing.,metadata,metadata-supported,1,"Certainly! I recommend 'True North' by The Crossing. It's a track with alternative and indie rock influences. Although I don't have much information about this specific track, it aligns well with your preferences.",metadata,metadata-supported,1,agree: metadata-supported claim
3094,w_TlhlzrpTs,wo_audio_all,1,I suggest checking out 'PUNK' by ピンク.,metadata,metadata-supported,0,"I suggest checking out 'PUNK' by ピンク. It's a track that falls under the punk and alternative genres with female vocals. Although I don't have specific information about this track, it aligns with your interest in punk and alternative genres with female vocals.",metadata,metadata-supported,0,agree with rule
