sample_idx,video_id,top1_is_gt,claim_id,claim_text,claim_terms,metadata_terms,rule_is_metadata_supported,generated_text,top1_reference_text,human_is_metadata_supported,human_unsupported_terms,human_notes
1952,_ob_vL2ptgY,0,3,"This song combines elements of hip-hop, soul, and pop, which aligns well with HighDro's style.",hip-hop;pop;soul,electronic;hip-hop;pop;r&b;soul,1,"Certainly! I recommend 'Dicen Ser' by Skan & Under One. It's a track from their album 'Dicen Ser'. This song combines elements of hip-hop, soul, and pop, which aligns well with HighDro's style. It has a catchy beat and features male vocals.","Allow me to recommend 'Dicen Ser' by Skan & Under One. It's a hip-hop track with electronic and soul influences. The song has R&B and pop elements as well. It was recorded as an inédita in the neighborhood of Satélite in Querétaro, Mexico. This track might provide the soulful and R&B vibe you're looking for.",,,
856,gsSXKMK0VCo,0,2,This track has a vintage feel with its jazz and easy listening elements.,jazz,dance;jazz;rock;soul;vocal;vocals,1,"In that case, I would recommend 'Here Comes the Sun' by Nina Simone. This track has a vintage feel with its jazz and easy listening elements. It's part of the album 'Here Comes the Sun' and would be a great fit for your video.","Allow me to recommend 'Here Comes the Sun' by Nina Simone. It's a track that combines elements of jazz, rock, and soul, with the beautiful vocals of a female vocalist. Although no description is available, it's a fitting choice to add the desired jazz and soul elements to your dance workshop.",,,
3729,5eSLbYZTZYM,0,3,It has a catchy and energetic sound that would be perfect for your video.,energetic,alternative;electronic;energetic;indie;male vocals;pop;rock;vocal;vocals,1,"Certainly! If you're looking for a rock and alternative vibe, I would recommend 'Like It's Her Birthday' by Good Charlotte. This track is part of the album 'The Chronicles of Life and Death' and offers a mix of rock, indie, and alternative genres. It has a catchy and energetic sound that would be perfect for your video.","Allow me to recommend 'Like It's Her Birthday' by Good Charlotte. It's a track from their album 'Cardiology' released in 2010. The song combines elements of rock, pop, electronic, and indie with a catchy and energetic sound. Good Charlotte is known for their alternative influences, and this song features male vocals. It could be a fitting choice for your video.",,,
2807,E-DKGlq98CI,0,3,"It might be a fitting choice for your video, combining the energetic and electronic elements with the soulful and indie influences you're looking for.",electronic;energetic;indie;soul,beat;beats;hip-hop;jazz;male vocals;pop;r&b;soul;vocal;vocals,0,"I suggest checking out 'LOST MOMENTS 92bpm' by Voyel ft Jear. Although I don't have much information about this track, based on the description, it seems to be a blend of hip-hop, electronic, and soul genres. It might be a fitting choice for your video, combining the energetic and electronic elements with the soulful and indie influences you're looking for.","Allow me to recommend 'LOST MOMENTS 92bpm' by Voyel ft Jear. It's a track produced by Allrounda Beats. It combines elements of hip-hop, R&B, soul, and pop with a touch of jazz. The song features male vocals which can add a unique dimension to your video.",,,
247,T7IJORMqVqU,0,3,"This song combines elements of rock, indie, alternative, and punk, which aligns well with the genres you mentioned.",alternative;indie;punk;rock,alternative;female vocals;indie;male vocals;pop;rock;vocal;vocals,0,"Certainly! How about 'Bakit Nga Ba Mahal Kita' by Roselle Nava? It's a track from her album 'Bakit Nga Ba Mahal Kita'. This song combines elements of rock, indie, alternative, and punk, which aligns well with the genres you mentioned. It has a guitar-driven sound and features female vocals.","Allow me to recommend the track 'Bakit Nga Ba Mahal Kita' by Roselle Nava. It's a track from her album 'Sing Me A Love Song'. It combines elements of indie, pop, and alternative rock with a focus on female vocals. This track could be a fitting choice for your video.",,,
908,07K8CQP8zgw,0,4,It was released in 2009 and has a unique blend of indie and alternative influences.,alternative;indie,female vocals;guitar;indie;male vocals;pop;rock;vocal;vocals,0,Certainly! How about 'これから' by plenty? It's a track from their album 'これから'. The song has a rock and indie rock sound with female vocals. It was released in 2009 and has a unique blend of indie and alternative influences. It could be a great addition to your video.,Allow me to recommend 'これから' by plenty. It's a track by the artist plenty and falls into the indie rock and indie pop genres. The song features female vocals and a rock sound with elements of guitar. It's a fitting choice for your video if you want to incorporate indie and rock vibes with a touch of female vocals.,,,
3284,NAkb0mbKtTQ,0,4,It has a fast-paced and energetic sound that could be a fitting choice for your video.,energetic;fast,energetic;indie;pop;rock,0,"Allow me to recommend 'Robot Man' by The Aliens. It's a track from their album 'Robot Man'. The song combines elements of rock, classic rock, and 80s music with a touch of techno and pop. It has a fast-paced and energetic sound that could be a fitting choice for your video.","How about 'Robot Man' by The Aliens? Although there is limited information available about the track, The Aliens are classified as a rock band with indie and pop influences. This track might add some rock elements to your video while still maintaining the dynamic and energetic vibe.",,,
3672,d78gsJINfpc,1,3,"The song combines elements of pop, rock, and alternative music, with powerful female vocals.",alternative;female vocals;male vocals;pop;rock;vocal;vocals,alternative;female vocals;male vocals;pop;rock;vocal;vocals,1,"Allow me to recommend 'Gift of a Friend' by Demi Lovato. It's a track from her album 'Gift of a Friend'. The song combines elements of pop, rock, and alternative music, with powerful female vocals. It was released in 2009 and may contain the specific elements you're looking for.","Allow me to recommend 'Gift of a Friend' by Demi Lovato. It's a pop and rock track from her album 'Gift of a Friend'. The song features Demi's powerful and distinctive vocals, which align with your preference for female vocals. Additionally, it has alternative elements that can add a unique touch to your video.",,,
2661,NhZLIOOs2F8,0,2,"This track has a strong electronic and pop influence, with elements of Hip-Hop and rock.",electronic;hip-hop;pop;rock,beat;beats;electronic;hip-hop;pop;r&b;soul;synth,0,"In that case, I would recommend 'Israel We Go Hard' by Ben Blackwell. This track has a strong electronic and pop influence, with elements of Hip-Hop and rock. It's part of the album 'Israel We Go Hard' and it's a great choice for your video.","Allow me to recommend 'Israel We Go Hard' by Ben Blackwell. Although I don't have much information about this track, it is classified as hip-hop, R&B, electronic, pop, and soul. It may have the soulful and pop elements you're looking for, along with the electronic beats and synth sounds that align with your preferences.",,,
3500,5Z_RHACCCjk,1,1,Allow me to recommend 'The Last Goodbye' by The Piano Guys.,piano,ambient;electronic;instrumental;melodic;rock;slow;strings,0,"Allow me to recommend 'The Last Goodbye' by The Piano Guys. It's a track from their album 'The Piano Guys'. The song combines elements of ambient, electronic, and rock genres, with a focus on slow and melodic strings. It was released in 2012 and has a unique and captivating sound that could add a special touch to your video.","Allow me to recommend 'Arcano Despertar'. It's an instrumental track that combines elements of ambient, electronic, and rock. The song has a slow and melodic sound with a focus on strings. Although there is limited information available about this track, it seems to have the specific elements you are looking for.",,,
365,7C2ssSnvfek,1,3,"It combines elements of hip-hop, electronic, and ambient with a focus on drums.",ambient;drum;drums;electronic;hip-hop,ambient;beat;beats;drum;electronic;hip-hop;rhythm;rock,0,"Allow me to recommend 'Dangerous' by ILL-Legitimate. It's a track from their album 'Dangerous'. It combines elements of hip-hop, electronic, and ambient with a focus on drums. It was released in 2013 and may contain the specific elements you're looking for.","Allow me to recommend 'Dangerous' by ILL-Legitimate. It's a track from their album 'The Album'. It combines elements of hip-hop, electronic, and rock with ambient influences. The song also features prominent drum beats that can add a rhythmic and dynamic element to your video. It's a recent release from ILL-Legitimate, so it captures their current style and sound.",,,
1427,60HTBUwYqcE,0,2,"This track combines elements of rock, indie, and electronic music, creating a unique and energetic sound.",electronic;energetic;indie;rock,dance;electronic;hip-hop;pop;vocal,0,"Certainly! I suggest checking out 'Dheaon Dheaon' by Vishal Dadlani. This track combines elements of rock, indie, and electronic music, creating a unique and energetic sound. It's part of the album 'Dheaon Dheaon' and would be a great fit for your video.",How about 'Dheaon Dheaon Song' by Vishal Dadlani? It's a pop and dance track with hip-hop and electronic elements. The song features a male vocalist and could be a fitting choice for your video.,,,
66,7R9BibXk2gY,1,3,"It's a track with electronic, indie, and jazz influences.",electronic;indie;jazz,electronic;indie;jazz;pop,1,"I apologize, but I don't have enough information about the specific track, album, or artist in the candidate music description to recommend a song that aligns with the electronic, indie, and jazz genres. However, based on the genres mentioned in the target music's MSD tags, I can recommend 'Perdoname by Raices De Tierra Caliente'. It's a track with electronic, indie, and jazz influences.","I apologize, but I don't have enough information about the specific track, album, or artist in the candidate music description to recommend a song that aligns with the electronic, indie, and jazz genres. However, based on the genres mentioned in the target music's MSD tags, I can recommend 'Perdoname' by Raices De Tierra Caliente. It's an electronic, indie, pop, and jazz-influenced track that could add a unique flavor to your video.",,,
2251,KbPGYi3-F_I,1,3,"It combines elements of hip-hop, electronic, and dance with a pop influence.",dance;electronic;hip-hop;pop,beat;dance;electronic;energetic;hip-hop;pop;rock,1,"Allow me to recommend 'Estay como pa mi' by Los Generales. It's a track from their album 'Estay como pa mi'. It combines elements of hip-hop, electronic, and dance with a pop influence. The song has a fast-paced beat and a loud sound that could be a fitting choice for your video.","Allow me to recommend 'Estay como pa mi' by Los Generales. It's a track from their reggaeton group. Although there is limited information available about this specific song, Los Generales are known for their hip-hop, electronic, pop, dance, and rock influences. This track might be a fitting choice for your video with its energetic beat and catchy pop elements.",,,
889,4iY51ffFXYo,0,3,"The song combines elements of hip-hop, electronic, and rock, which aligns well with the style you're looking for.",electronic;hip-hop;rock,electronic;hip-hop;jazz;rock,1,"Certainly! I recommend 'Mike Black' by Mike Black. It's a track from his album 'Mike Black'. The song combines elements of hip-hop, electronic, and rock, which aligns well with the style you're looking for. It was released in 2012 and has a fast-paced and energetic vibe.","Allow me to recommend 'BABA' by Najeeb. It's a track that showcases his versatile style and combines elements of hip-hop, rock, jazz, and electronic music. The song provides an in-depth look into the life of a true 'Baba' and was released by Najeeb himself. It might be a fitting choice for your video.",,,
32,h84_FdjNQ58,0,3,"Although I don't have much information about the album or the artist, the song itself aligns well with the dance, electronic, and pop genres you're looking for.",dance;electronic;pop,dance;electronic;pop;vocal,1,"Allow me to recommend 'Be Together' by Adam Chrola. It's a dance track with electronic and pop elements. Although I don't have much information about the album or the artist, the song itself aligns well with the dance, electronic, and pop genres you're looking for.","Allow me to recommend 'Be Together' by DANI B vs KARIM R. It's a dance and electronic track with pop influences and features female vocalists. Although there is no specific description available for this track, it falls under the category of 90s style too.",,,
1819,vgzrbpnTesg,1,4,It has a techno and synth-focused sound with male vocals.,male vocals;synth;techno;vocal;vocals,electronic;hip-hop;pop;r&b;soul,0,"Allow me to recommend 'Dreams' by Perfeck Strangers featuring Wordsworth & Yonatan Watts. It's a track from their album 'Dreams'. This song combines elements of Hip-Hop, electronic, pop, and soul with a touch of R&B. It has a techno and synth-focused sound with male vocals.","Let me suggest 'Dreams' by Perfeck Strangers featuring Wordsworth & Yonatan Watts. It's a hip-hop track with electronic and pop influences. The song has soul and R&B elements as well. Unfortunately, I don't have any additional information about the album or artists.",,,
3234,y81mVM9WiTE,0,2,"This track has a soulful and RnB sound, with elements of Hip-Hop, pop, and rock.",hip-hop;pop;rock;soul,electronic;hip-hop;pop;rock;soul,1,"In that case, I would recommend 'First thing in the Morning' by Dapper Valentino. This track has a soulful and RnB sound, with elements of Hip-Hop, pop, and rock. It's part of the album 'First thing in the Morning' and would be a great fit for your video.","Allow me to recommend 'First thing in the Morning' by Dapper Valentino, Eddie Mac & Innuendo. It's a track from Soundfile Records and was filmed and edited by @Merki_Artist. This song combines elements of hip-hop, rock, electronic, and soul with pop influences. It could be a fitting choice for your video.",,,
