exp_name,sample_idx,video_id,gt_music_id,top1_music_id,top1_is_gt,claim_id,claim_text,claim_terms,claim_categories,metadata_terms,supported_terms,unsupported_terms,is_metadata_supported,generated_text,top1_reference_text,llm_is_metadata_supported,llm_unsupported_aspects,llm_reason,llm_raw,rule_is_metadata_supported,agree_is_metadata_supported
exp_01,99,zEFEOnXKWuc,zEFEOnXKWuc_EyS8E0iUQA8,2HcJyOXh08M_TeieT0l63o0,0,4,It has a fast-paced and energetic sound that could be a fitting choice for your video.,energetic;fast,mood_tempo,alternative;drum;energetic;fast;guitar;indie;pop;punk;rock,energetic;fast,,1,"Certainly! I recommend 'The Light' by Peter Hook And The Light. It's a track from their album 'The Light'. This song combines elements of indie rock, punk, and alternative genres. It has a fast-paced and energetic sound that could be a fitting choice for your video.","Allow me to recommend 'Moving On' by The Hangovern. It's a track from their EP and falls under the genres of rock, indie, and alternative. The song has indie rock and punk influences, with a guitar and drum-driven sound. It's a fast-paced track that also has elements of pop, which could provide the energetic and catchy vibe you're looking for in your video.",1,,"The candidate metadata directly supports the claim with terms 'fast-paced' and 'energetic', indicating a fitting choice for the video.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate metadata directly supports the claim with terms 'fast-paced' and 'energetic', indicating a fitting choice for the video.""
}",1,1
exp_01,437,ppFEqjMHC_M,ppFEqjMHC_M_ZrZqngJhrEc,0H3vkXMshQg_ETQRdy0mXfg,0,3,"It combines elements of indie rock, pop, and alternative with a focus on vocals and guitar.",alternative;guitar;indie;pop;rock;vocal;vocals,genre;instrument,guitar;indie;pop;rock,guitar;indie;pop;rock,alternative;vocal;vocals,0,"Allow me to recommend 'Flying' by Recess Monkey. It's a track from their album 'Flying'. It combines elements of indie rock, pop, and alternative with a focus on vocals and guitar. This song could be a fitting choice for your video.","Allow me to recommend 'Flying' by Recess Monkey. It's an indie rock track with elements of pop. Although there is no specific description available for this track, it aligns well with your preferences of indie, rock, and pop genres. The song has a guitar-focused sound which adds a nice touch to the overall composition.",1,,"The claim is supported by the metadata's mention of indie rock, pop, and guitar-focused sound.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the metadata's mention of indie rock, pop, and guitar-focused sound.""
}",0,0
exp_01,15,JNKpf4DLzJ0,JNKpf4DLzJ0_S0NI5pfSghk,JNKpf4DLzJ0_S0NI5pfSghk,1,4,"It features guitar and male vocals, which adds to its distinctive sound.",guitar;male vocals;vocal;vocals,instrument,acoustic;country;folk;guitar;indie;melodic;pop;rhythm;rock;slow;vocal;vocals,guitar;vocal;vocals,male vocals,0,"Allow me to recommend 'The Light' by Matt Joe Gow & the Dead Leaves. It's a track from their album 'The Light'. This song combines elements of country, folk, and indie music, creating a unique blend of genres. It features guitar and male vocals, which adds to its distinctive sound.","Allow me to recommend 'The Light' by Matt Joe Gow & the Dead Leaves. It's a track from their album 'The Messenger' and blends elements of rock, country, folk, and indie with a touch of pop. The song features acoustic guitar, soothing vocals, and a slow-paced rhythm, creating a melodic and heartfelt atmosphere that aligns well with the country, folk, and indie styles you're interested in.",1,,The claim is supported by the presence of 'acoustic guitar' in the metadata.,"{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the presence of 'acoustic guitar' in the metadata.""
}",0,0
exp_01,3055,PaRTwvsFXVo,PaRTwvsFXVo_q39BJR1w_xU,PaRTwvsFXVo_q39BJR1w_xU,1,2,It's a soulful track with elements of R&B and pop.,pop;r&b;soul,genre,dance;female vocals;guitar;male vocals;r&b;soul;vocal;vocals,r&b;soul,pop,0,"Allow me to recommend 'Sweeter Than Honey' by Shar Carillo. It's a soulful track with elements of R&B and pop. The song features female vocals and guitar, which can add a touch of emotion and depth to your dance video.","Let me recommend 'Sweeter Than Honey' by Shar Carillo. It's a soulful R&B track with female vocals. Although there is no specific information about the guitar, it's possible that the song may contain guitar elements. The song has a dance-worthy vibe and was performed by Shar Carillo in 2012.",1,,The claim is supported by the presence of R&B and soulful elements in the track description.,"{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the presence of R&B and soulful elements in the track description.""
}",0,0
exp_01,309,zb0QgGrsKgE,zb0QgGrsKgE_PM_EpGPPoKY,rHFc6LMWEZU_S5lEMkBG5a8,0,4,It has a chillout vibe that could be a fitting choice for your video.,chill;chillout,genre;mood_tempo,alternative;beat;beats;electronic;hip-hop;indie;rock;vocal;vocals,,chill;chillout,0,"Allow me to recommend 'Money' by Money. It's a track from the album 'Money' by Money. The song combines elements of hip-hop, electronic, and soul, with a female vocalist. It has a chillout vibe that could be a fitting choice for your video.","Allow me to recommend 'Whatever Doesn't Kill You Simply Makes You Stranger'. It's a track by Smash Moody from the album of the same name. The song combines hip-hop, rock, and electronic elements, creating a unique blend of genres. It has an alternative and indie vibe with elements of electronic beats and strong vocals.",1,,"The candidate track metadata/reference explicitly mentions 'alternative' and 'indie vibe', which aligns with the claim's description of a 'chillout vibe'.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate track metadata/reference explicitly mentions 'alternative' and 'indie vibe', which aligns with the claim's description of a 'chillout vibe'.""
}",0,0
exp_01,717,RHs7VJAZbEM,RHs7VJAZbEM_OR82-WVV2RM,DE7BZPDkN3Q_j0Rq2XVhqVU,0,3,"This song combines elements of hip-hop, R&B, and electronic music with soulful vocals.",electronic;hip-hop;r&b;soul;vocal;vocals,genre;instrument,hip-hop;r&b;soul;vocal;vocals,hip-hop;r&b;soul;vocal;vocals,electronic,0,"I suggest checking out 'I Don't Deserve You' by Lloyd Banks feat;. It's a track from Saint's album 'I Don't Deserve You'. This song combines elements of hip-hop, R&B, and electronic music with soulful vocals. It could be a fitting choice for your video.","Certainly! I recommend 'I Don't Deserve You' by Lloyd Banks feat. Jeremih. It's a hip-hop track with soulful vocals by Jeremih. The song is from Lloyd Banks' album 'H.F.M. 2' and it combines elements of hip-hop, R&B, and soul. This track could be a fitting choice for your video as it incorporates the elements you're looking for.",1,,"The claim is supported by the metadata, which mentions hip-hop, R&B, and soul elements, matching the claim's description.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the metadata, which mentions hip-hop, R&B, and soul elements, matching the claim's description.""
}",0,0
exp_01,1364,NIJp5pcEVlY,NIJp5pcEVlY_4wYajkKLu3s,NIJp5pcEVlY_4wYajkKLu3s,1,3,"It's part of the album 'Insurgentes' and offers a blend of Hip-Hop, soul, R&B, and pop genres.",hip-hop;pop;r&b;soul,genre,chill;chillout;hip-hop;pop;r&b;relaxed;soul,hip-hop;pop;r&b;soul,,1,"In that case, I would recommend 'Insurgentes' by Crack Family ft; 213. This track has a soulful and chilled-out vibe, perfect for creating a relaxed atmosphere in your video. It's part of the album 'Insurgentes' and offers a blend of Hip-Hop, soul, R&B, and pop genres.","In that case, I would recommend 'Insurgentes' by Crack Family ft. Engendros Del Pantano. This track combines elements of Hip-Hop, soul, R&B, chillout, and pop, giving it a soulful and relaxed feel. It's part of the album 'La Familia, Cap. 1'.",1,,"The claim is supported by the metadata/reference text, which mentions 'Insurgentes' and similar genres.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the metadata/reference text, which mentions 'Insurgentes' and similar genres.""
}",1,1
exp_02,1545,4iR772WszA4,4iR772WszA4_366-VLL63YU,4iR772WszA4_366-VLL63YU,1,3,"It combines elements of rnb, dance, and electronic beats with a pop influence.",beat;beats;dance;electronic;pop,genre;instrument,beat;beats;dance;electronic;energetic;hip-hop;pop,beat;beats;dance;electronic;pop,,1,"Allow me to recommend 'Soldado Callejero' by Ñengo Flow ft Nely El Arma Secreta. It's a track from their album 'Soldado Callejero'. It combines elements of rnb, dance, and electronic beats with a pop influence. It was released in 2013 and may contain the specific elements you're looking for.","Allow me to recommend 'Soldado Callejero' by Ñengo Flow ft Nely El Arma Secreta. It's a track from Ñengo Flow's album 'Soldado Callejero' and combines elements of hip-hop, electronic and dance with rnb and pop influences. The song features electronic beats and has a catchy and energetic vibe that could be a fitting choice for your video. It was produced by Dany DJ Canal and has a reggaeton influence as well.",1,,"The claim is supported by the metadata, which explicitly mentions electronic beats and combines elements of hip-hop, electronic, dance, rnb, and pop.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim is supported by the metadata, which explicitly mentions electronic beats and combines elements of hip-hop, electronic, dance, rnb, and pop.""
}",1,1
exp_02,1792,zi8GfzxmaII,zi8GfzxmaII_tEFiGUkGnHc,x9bLdfjumVc_PXBj805fhfk,0,2,"It's a track that combines hip-hop with rock, indie, and electronic elements.",electronic;hip-hop;indie;rock,genre,electronic;hip-hop;indie;pop;rock,electronic;hip-hop;indie;rock,,1,"Sure! How about 'Szczęście' by K.A.S.A.? It's a track that combines hip-hop with rock, indie, and electronic elements. Although I don't have much information about the specific album or artists, the song itself should provide the desired blend of genres for your video.","I suggest considering the track '八空' from 高槻POSSE's 1st album '[I don't care]Trailer'. Although I don't have specific information about the track, based on the description you provided, it seems to have a combination of hip-hop, electronic, rock, pop, and indie elements. This could be a suitable choice to incorporate those genres into your video.",1,,"The candidate track metadata/reference text mentions a combination of hip-hop, electronic, rock, pop, and indie elements, which supports the music-detail claim.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate track metadata/reference text mentions a combination of hip-hop, electronic, rock, pop, and indie elements, which supports the music-detail claim.""
}",1,1
exp_02,2490,B4gTBmc4iCg,B4gTBmc4iCg_14PBgzocQ4E,czd8IAlJNuU_xl48zwJRPSw,0,2,"It's a track by Nucklez that combines elements of electronic, indie, and pop with a dance and beat-focused sound.",beat;dance;electronic;indie;pop,genre;instrument,dance;electronic;hip-hop;pop;rock,dance;electronic;pop,beat;indie,0,"Allow me to recommend 'Nucklez - Bosso'. It's a track by Nucklez that combines elements of electronic, indie, and pop with a dance and beat-focused sound. It was released in 2012 and may contain the specific elements you're looking for.","Sure! How about 'Bosso' by HHP? It's a track from their album 'Lekoko Entertainment'. It combines elements of Hip-Hop, electronic, and dance with a touch of rock and pop. This song may provide the specific style and vibe you're looking for.",0,indie,"The candidate track metadata/reference does not mention indie as a genre, which is present in the generated explanation claim.","{
""is_metadata_supported"": false,
""unsupported_aspects"": [""indie""],
""reason"": ""The candidate track metadata/reference does not mention indie as a genre, which is present in the generated explanation claim.""
}",0,1
exp_02,2045,CWHF6mSZFs4,CWHF6mSZFs4_z32x1YipaTw,CWHF6mSZFs4_z32x1YipaTw,1,2,It has a fast-paced beat and synth elements that could add a dynamic and energetic touch to your video.,beat;energetic;fast;synth,instrument;mood_tempo,dance;electronic;hip-hop;pop;r&b,,beat;energetic;fast;synth,0,"13hor Velvet Sick's 'Give Me 5' is a track that combines hip-hop, electronic, dance, and R&B genres. It has a fast-paced beat and synth elements that could add a dynamic and energetic touch to your video.","I suggest you consider 'Give Me 5' by Beretta 13hor Velvet Sick. It's a track with a mix of hip-hop, electronic, dance, R&B, and pop genres. Although I don't have much information about this specific track, it might be worth exploring for your video.",1,,"The candidate metadata/reference provides a general description of the track's genre mix, which supports the claim about the dynamic and energetic touch.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate metadata/reference provides a general description of the track's genre mix, which supports the claim about the dynamic and energetic touch.""
}",0,0
exp_02,3843,PO7CEdnDnVY,PO7CEdnDnVY_lHfLWwE6_UU,-CKlwUoyQkM_Xmc3eMDYsj0,0,3,"This song has a heavy and alternative rock sound, which aligns well with your preferences.",alternative;rock,genre,alternative;energetic;fast;punk;rock,alternative;rock,,1,"100% Certainly! I suggest you consider 'Psycho' by System Of A Down. It's a track from their album 'Psycho' and it falls under the genres of rock, metal, alternative, and hard rock. This song has a heavy and alternative rock sound, which aligns well with your preferences.","Certainly! How about 'Psycho' by System Of A Down? Although I don't have much information about this track's album or artists, it is classified as alternative rock and punk, which aligns with your preferences. It falls under the rock genre and has a fast-paced and energetic sound, making it a suitable choice for your video.",1,,"The candidate track metadata/reference text explicitly mentions 'alternative rock' and 'rock', which aligns with the music-detail claim.","Here is the JSON response:

{
  ""is_metadata_supported"": true,
  ""unsupported_aspects"": [],
  ""reason"": ""The candidate track metadata/reference text explicitly mentions 'alternative rock' and 'rock', which aligns with the music-detail claim.""
}",1,1
exp_02,2991,iZpM0Weq5P0,iZpM0Weq5P0_P6WEOFJwtKI,iZpM0Weq5P0_P6WEOFJwtKI,1,4,The song features male vocals and was released in 2014.,male vocals;vocal;vocals,instrument,electronic;male vocals;r&b;soul;vocal;vocals,male vocals;vocal;vocals,,1,"Allow me to recommend 'N'Krê' by To Semedo. It's a track from his album 'N'Krê'. It combines elements of R&B, pop, and soul with electronic beats that could be a fitting choice for your video. The song features male vocals and was released in 2014.","Allow me to recommend 'N´Krê' by To Semedo. It's a track from his 'LOUDER 2015' album. It combines elements of R&B, soul, and electronic music with a focus on male vocals. It may be a fitting choice for your video.",1,,"The candidate metadata/reference supports the claim about male vocals. The release year '2015' in the album title does not match the claimed release year '2014', but this is an unsupported aspect.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate metadata/reference supports the claim about male vocals. The release year '2015' in the album title does not match the claimed release year '2014', but this is an unsupported aspect.""
}",1,1
exp_02,4123,hjSKLM7xcqk,hjSKLM7xcqk_r46Wcr58mCc,2sSQSbEMzVg_altHNK-VpKU,0,2,It's a track from her album 'Tempo de Voltar'.,tempo,mood_tempo,alternative;female vocals;indie;male vocals;pop;rock;tempo;vocal;vocals,tempo,,1,"Allow me to recommend 'Tempo de Voltar' by Arianne. It's a track from her album 'Tempo de Voltar'. The song combines elements of rock, pop, and alternative with female vocals. It has a guitar-focused sound and could be a fitting choice for your video.","Allow me to recommend 'Tempo de Voltar' by Arianne. It's a track from her album 'Tempo de Voltar'. The song combines elements of pop, rock, and alternative genres with Arianne's unique indie style and powerful female vocals. It can add a touch of individuality and depth to your video.",1,,The claim 'It's a track from her album Tempo de Voltar' is directly supported by the metadata/reference text.,"Here is the JSON response:

{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The claim 'It's a track from her album Tempo de Voltar' is directly supported by the metadata/reference text.""
}",1,1
exp_02,3168,h4jyESSZwKs,h4jyESSZwKs_DXY-cd0maik,o0NJ2-FF3nw_kqD-AzV9ZAc,0,3,The song has a chillout vibe and features female vocals.,chill;chillout;female vocals;male vocals;vocal;vocals,genre;instrument;mood_tempo,ambient;electronic;slow;synth;tempo,,chill;chillout;female vocals;male vocals;vocal;vocals,0,Sure! How about 'Heavy Water' by Les Twins? It's an electronic track with ambient and experimental influences. The song has a chillout vibe and features female vocals. It could add a unique and atmospheric touch to your video.,"I suggest using 'Heavy Water' by Les Twins. It's an ambient and experimental electronic track that could bring a unique and atmospheric vibe to your video. The song has a slow tempo and synth-driven sound, which aligns well with the ambient and experimental genres.",0,The song has a chillout vibe and features female vocals.,"The candidate metadata/reference does not mention 'chillout vibe' or 'female vocals', which are claimed to be present in the track.","{
""is_metadata_supported"": false,
""unsupported_aspects"": [""The song has a chillout vibe and features female vocals.""],
""reason"": ""The candidate metadata/reference does not mention 'chillout vibe' or 'female vocals', which are claimed to be present in the track.""
}",0,1
exp_02,1196,A356ur2w6xg,A356ur2w6xg_YIcnvcW3-cg,_uKx125-ss4_pFsobtf37LE,0,2,It's a dance and pop song with electronic and house influences.,dance;electronic;house;pop,genre,dance;electronic;pop,dance;electronic;pop,house,0,100% In Love - Pop Radio Mix by Tommy Vee is a track that perfectly fits your description. It's a dance and pop song with electronic and house influences. The energetic beats and catchy melodies make it a great choice for your video.,"In that case, I would recommend 'Tommy Vee - Lovely [Pop Radio Mix]' by Andrea T Mendoza. This track has a pop sound with a 90s vibe, perfect for your video. It's part of the album 'Lovely' and captures the essence of the 90s electronic and dance music scene.",1,,"The candidate track metadata/reference text explicitly mentions 'dance', 'electronic', and 'pop' genres, which align with the music-detail claim.","{
""is_metadata_supported"": true,
""unsupported_aspects"": [],
""reason"": ""The candidate track metadata/reference text explicitly mentions 'dance', 'electronic', and 'pop' genres, which align with the music-detail claim.""
}",0,0
exp_02,299,QfHTaVIZwNY,QfHTaVIZwNY_Fw_1yZAsMqg,sFjxJmOShIY_GuhPwHrYV5o,0,3,"The song combines electronic, indie, and pop elements, which aligns well with Lucas e Renault's distinctive style.",electronic;indie;pop,genre,electronic;indie;pop;synth,electronic;indie;pop,,1,"100% Sure! I recommend 'Vou Te Contar' by Lucas e Renault. It's a track from their album 'Vou Te Contar'. The song combines electronic, indie, and pop elements, which aligns well with Lucas e Renault's distinctive style. It was released in 2014 and has a catchy and energetic vibe that could be a great fit for your video.","Allow me to recommend 'Regresa A Mi'. It's a track from Tiki's debut album 'Discoteca'. It combines elements of electronic, pop, and indie with a synth-driven sound. It was released in 2013 and may contain the specific elements you're looking for in your video.",1,,"The candidate metadata/reference text explicitly mentions electronic, pop, and indie elements, which aligns with the generated explanation claim.","Here is the JSON response:

{
  ""is_metadata_supported"": true,
  ""unsupported_aspects"": [],
  ""reason"": ""The candidate metadata/reference text explicitly mentions electronic, pop, and indie elements, which aligns with the generated explanation claim.""
}",1,1
