sample_idx,video_id,gt_music_id,preference_variant,positive_hits,negative_hits,n_positive_hits,n_negative_hits,alignment_score,is_aligned,has_conflict,ESS_from_original,generated_text,llm_is_aligned,llm_has_conflict,llm_alignment_strength,llm_reason,llm_raw,rule_is_aligned,rule_has_conflict,agree_is_aligned,agree_has_conflict
1333,sZNtPlWq5gI,sZNtPlWq5gI_tl_4Jx7umvs,cf_lyrical_piano,lyrical;piano,,2,0,2,1,0,0.9375,"In that case, I recommend 'Lyrical Piano Background Music - 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",1,0,strong,The generated recommendation matches the counterfactual preference's lyrical and piano music characteristics.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated recommendation matches the counterfactual preference's lyrical and piano music characteristics.""
}",1,0,1,1
780,5ZVQ6_Hd4zc,5ZVQ6_Hd4zc_58ip325ZOu8,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,,9,0,9,1,0,0.8333333333333334,I suggest you consider the track 'Love Is A Beautiful Thing' by The Sounds. It's a beautiful song with lyrical piano and a slow tempo. The track has a soft acoustic texture and a gentle melody that can create a calm and sentimental mood for your video.,1,0,strong,"The generated explanation matches the counterfactual preference in terms of lyrical piano music with slow tempo, soft acoustic texture, gentle melody, and calm sentimental mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference in terms of lyrical piano music with slow tempo, soft acoustic texture, gentle melody, and calm sentimental mood.""
}",1,0,1,1
457,_MV0BuKm0VE,_MV0BuKm0VE_xbzDeFsKwfY,cf_lyrical_piano,,beat;dance;electronic;energetic;techno,0,5,-5,0,1,0.54,"Allow me to recommend 'S.O.T.U.' by Nicky Romero featuring Fast Eddie. It's a track from the album 'S.O.T.U.' and combines elements of electronic, dance, and pop genres. The song has a techno and fast-paced beat, which aligns well with the energetic vibe you're looking for.",0,1,weak,"The recommendation features electronic and techno elements, which conflict with the user's preference for lyrical piano music.","{
""is_aligned"": false,
""has_conflict"": true,
""alignment_strength"": ""weak"",
""reason"": ""The recommendation features electronic and techno elements, which conflict with the user's preference for lyrical piano music.""
}",0,1,1,1
2648,rSAbaOw7tNY,rSAbaOw7tNY_R6_kdKj7mJ0,cf_lyrical_piano,acoustic;gentle;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.7068965517241379,"In that case, I recommend 'All Night Long' by Uno Feat. This track combines elements of Hip-Hop, electronic, rock, pop, and indie genres. It has a slow tempo and a soothing acoustic texture, creating a gentle and sentimental mood. It's a perfect fit for your video.",1,0,strong,The recommendation matches the counterfactual preference's lyrical piano music with slow tempo and gentle melody.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference's lyrical piano music with slow tempo and gentle melody.""
}",1,1,1,0
3711,xSAt_9AARZg,xSAt_9AARZg_qJbtrYcfTfo,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,,9,0,9,1,0,0.8,"In Your Arms by Christina Ross is a beautiful track that fits your preferences. It has a lyrical piano background with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. This song is perfect for creating a romantic atmosphere in your video.",1,0,strong,The generated explanation matches the counterfactual user preference in terms of musical elements and atmosphere.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual user preference in terms of musical elements and atmosphere.""
}",1,0,1,1
1753,dfMrsrzxZxc,dfMrsrzxZxc_FL9Vv_mEwN8,cf_lyrical_piano,acoustic;calm;lyrical;piano;sentimental;slow,hip-hop,6,1,5,1,1,0.6833333333333333,"Allow me to recommend 'Why Me' by Krizz Kaliko. It's a track from his album 'Kickin' Rhymes'. The song combines elements of Hip-Hop, R&B, and pop with a slow tempo and a soothing acoustic sound. It has a lyrical piano background and a calm, sentimental mood that could be a fitting choice for your video.",1,0,strong,The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and calm mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and calm mood.""
}",1,1,1,0
3905,H-W68B4KTVI,H-W68B4KTVI_ulxuGZNxbA0,cf_lyrical_piano,acoustic;emotional;piano;slow,electronic,4,1,3,1,1,0.6949152542372881,I suggest you consider the track 'Love Is Alive' by Linda. It's a pop and electronic song with elements of rock and indie. The song has a slow tempo and features a piano and acoustic guitar. It has a soothing and emotional vibe that could be a fitting choice for your video.,1,0,strong,The generated explanation matches the counterfactual preference's lyrical piano music with slow tempo and emotional vibe.,"{
  ""is_aligned"": true,
  ""has_conflict"": false,
  ""alignment_strength"": ""strong"",
  ""reason"": ""The generated explanation matches the counterfactual preference's lyrical piano music with slow tempo and emotional vibe.""
}",1,1,1,0
4025,BSA-zYdJkw8,BSA-zYdJkw8_jO8zlog3yfo,cf_lyrical_piano,acoustic;calm;gentle;melody;sentimental;slow;soft,,7,0,7,1,0,0.6935483870967742,"Allow me to recommend 'I Love You' by Jonathan McReynolds. It's a track from his album 'Walking In The Light Vol'. The song combines elements of pop, R&B, and soul with a touch of rock. It has a slow tempo, soft acoustic texture, and a gentle melody that creates a calm and sentimental mood.",1,0,strong,"The generated explanation matches the counterfactual preference in terms of tempo, texture, melody, and mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference in terms of tempo, texture, melody, and mood.""
}",1,0,1,1
806,3O3gFRSiBC4,3O3gFRSiBC4_ygio6cVZmec,cf_lyrical_piano,lyrical;piano;sentimental;slow,dance;electronic;hip-hop,4,3,1,1,1,0.6271186440677966,"Allow me to recommend 'Hush (Catz 'n Dogz 2013 Remix)' by Thomas Schumacher. It's a track from the album 'Hush (Catz 'n Dogz 2013 Remix)'. This song combines elements of electronic, dance, and pop genres with a touch of Hip-Hop. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,1,1,0
839,_0kWPBMmYEU,_0kWPBMmYEU_p21n2iGmd_s,cf_lyrical_piano,lyrical;piano;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.6666666666666667,"In that case, I recommend 'Love Is' by J.R. featuring J.R. It's a track from the album 'Love Is' and combines elements of Hip-Hop, pop, and rock with soul and electronic influences. The song has a slow tempo and features lyrical piano, which creates a soothing and sentimental atmosphere.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,1,1,0
3645,fpPHM9g7doo,fpPHM9g7doo_gXmN3m7GpEk,cf_lyrical_piano,emotional;lyrical;piano;sentimental;slow,dance;electronic,5,2,3,1,1,0.6333333333333333,"Allow me to recommend 'London'o Phone' by Nav Sidhu. It's a track from the album 'London'o Phone'. This song combines elements of pop, electronic, and dance with a touch of rock. It has a slow tempo and features lyrical piano, which aligns well with the emotional and sentimental mood you're looking for.",1,0,strong,The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,1,1,0
869,omK0RvdNINg,omK0RvdNINg_5PbXu0pQnQ0,cf_lyrical_piano,acoustic;calm;gentle;melody;sentimental;slow,electronic,6,1,5,1,1,0.8125,"I suggest you consider the track 'Love Is In The Air' by John Paul Young. It's a pop and electronic song with a slow tempo and a soothing acoustic sound. The track has a gentle melody and a calm sentimental mood, which could be a fitting choice for your video.",1,0,strong,"The generated explanation matches the counterfactual preference in terms of tempo, acoustic texture, melody, and mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference in terms of tempo, acoustic texture, melody, and mood.""
}",1,1,1,0
1311,CSvBwXlOQPY,CSvBwXlOQPY_iZOXwI35PZY,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,,9,0,9,1,0,0.7307692307692308,I recommend 'EL CHAMAKITO' by LA EMINENCIA. It's a track with lyrical piano background music and a slow tempo. The song has a soft acoustic texture and a gentle melody that creates a calm and sentimental mood. It's a perfect choice for your video.,1,0,strong,"The generated explanation matches the counterfactual preference in terms of lyrical piano music, slow tempo, soft acoustic texture, gentle melody, and calm sentimental mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference in terms of lyrical piano music, slow tempo, soft acoustic texture, gentle melody, and calm sentimental mood.""
}",1,0,1,1
307,DL3dhkazIc8,DL3dhkazIc8_tQjxTUSkOqs,cf_lyrical_piano,acoustic;calm;lyrical;piano;sentimental;slow,electronic;hip-hop,6,2,4,1,1,0.6181818181818182,"Allow me to recommend 'Sick Perfect Banger' by Redhooknoodles. It's a hip-hop track with electronic and rock influences. The song has a slow tempo and features lyrical piano, which aligns well with your preferences. The acoustic elements and the calm and sentimental mood of the music make it a fitting choice for your video.",1,1,moderate,"The recommendation aligns with the preference for lyrical piano music and slow tempo, but conflicts with the preference for acoustic texture due to electronic influences.","{
""is_aligned"": true,
""has_conflict"": true,
""alignment_strength"": ""moderate"",
""reason"": ""The recommendation aligns with the preference for lyrical piano music and slow tempo, but conflicts with the preference for acoustic texture due to electronic influences.""
}",1,1,1,1
4148,HdVY4pBsahU,HdVY4pBsahU_12WBWg1BAmU,cf_lyrical_piano,acoustic;calm;gentle;slow;soft,electronic;hip-hop,5,2,3,1,1,0.6271186440677966,"Allow me to recommend 'Survive Life' by FRESH. It's a track from the album 'Survive Life' and combines elements of hip-hop, electronic, and indie genres. The song has a slow tempo and a soft acoustic texture, which creates a gentle and calm atmosphere. It was released in 2014 and may contain the specific elements you are looking for.",1,0,strong,"The recommendation matches the counterfactual preference's tempo, texture, and mood, aligning with the desired lyrical piano music characteristics.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference's tempo, texture, and mood, aligning with the desired lyrical piano music characteristics.""
}",1,1,1,0
3256,cqoeZEweGy4,cqoeZEweGy4_HYgZR5EiTsM,cf_lyrical_piano,acoustic;piano;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.6346153846153846,I suggest you consider the track 'Uradi pravu stvar' by I. It's a hip-hop and pop song with electronic and rock influences. The song has a slow tempo and features a piano and acoustic elements. It has a soothing and sentimental vibe that could be a fitting choice for your video.,1,1,moderate,"The generated explanation matches the counterfactual preference's lyrical piano music and slow tempo, but conflicts with the preference for soft acoustic texture due to electronic and rock influences.","{
""is_aligned"": true,
""has_conflict"": true,
""alignment_strength"": ""moderate"",
""reason"": ""The generated explanation matches the counterfactual preference's lyrical piano music and slow tempo, but conflicts with the preference for soft acoustic texture due to electronic and rock influences.""
}",1,1,1,1
1835,i14CO18tEJA,i14CO18tEJA_wyDJKPE1cII,cf_lyrical_piano,acoustic;calm;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.7540983606557377,"I suggest checking out the track 'L'amour est un oiseau' by M.A.R.S. It's a hip-hop and electronic song with elements of rock and pop. The track has a slow tempo and a soothing acoustic texture, which can create a calm and sentimental atmosphere for your video.",1,1,moderate,"The generated explanation matches the counterfactual preference's lyrical piano music and slow tempo, but conflicts with electronic and hip-hop elements.","{
""is_aligned"": true,
""has_conflict"": true,
""alignment_strength"": ""moderate"",
""reason"": ""The generated explanation matches the counterfactual preference's lyrical piano music and slow tempo, but conflicts with electronic and hip-hop elements.""
}",1,1,1,1
1269,KGmsoYvx7ng,KGmsoYvx7ng_s6CDWoTZi68,cf_lyrical_piano,acoustic;slow,electronic,2,1,1,1,1,0.42307692307692313,"Allow me to recommend 'Under World' by A＆D. It's a track from their album 'Under World'. This song combines elements of rock, metal, and alternative with a touch of electronic and indie influences. It has a slow tempo and a soothing acoustic sound that could be a fitting choice for your video.",1,0,strong,The recommendation matches the counterfactual preference for slow tempo and acoustic texture.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for slow tempo and acoustic texture.""
}",1,1,1,0
2378,2WzHhtkF8JM,2WzHhtkF8JM_0Y1v5HCWz6M,cf_lyrical_piano,acoustic;slow,dance;electronic,2,2,0,0,1,0.6607142857142857,"Allow me to recommend 'I Love You' by 2AM. It's a track from their album '2010 2AM 1st Mini Album'. The song combines elements of pop, dance, and electronic genres with a focus on female vocals. It has a slow tempo and a soothing acoustic texture that could be a fitting choice for your video.",1,1,moderate,"The recommendation matches the slow tempo and acoustic texture preferences, but conflicts with the lyrical piano music preference due to the electronic genre.","{
  ""is_aligned"": true,
  ""has_conflict"": true,
  ""alignment_strength"": ""moderate"",
  ""reason"": ""The recommendation matches the slow tempo and acoustic texture preferences, but conflicts with the lyrical piano music preference due to the electronic genre.""
}",0,1,0,1
1698,lgBOgKr-HJo,lgBOgKr-HJo_tA5vcZ7CJyI,cf_lyrical_piano,piano;sentimental;slow,,3,0,3,1,0,0.5094339622641509,"Allow me to recommend 'Papa Noel' by Stromae vs Wham. It's a track from the album 'Papa Noel' and combines elements of pop, jazz, and rock with a touch of soul. The song features a piano and has a slow tempo, which creates a soothing and sentimental atmosphere.",1,0,strong,The generated explanation matches the counterfactual preference's lyrical piano music with slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference's lyrical piano music with slow tempo and sentimental mood.""
}",1,0,1,1
3003,0J808gIog1o,0J808gIog1o_PoJFn_RIdkg,cf_lyrical_piano,emotional,electronic;techno,1,2,-1,0,1,0.5283018867924528,"Allow me to recommend 'Kimi no sobade' by Sayaka Shionoya. It's a track from her album 'Kimi no sobade'. The song combines elements of pop, electronic, and rock with a focus on female vocals. It has a techno influence and a powerful and emotional sound that could be a fitting choice for your video.",0,1,moderate,"The recommendation includes electronic and techno elements, which conflict with the user's preference for soft acoustic texture.","{
""is_aligned"": false,
""has_conflict"": true,
""alignment_strength"": ""moderate"",
""reason"": ""The recommendation includes electronic and techno elements, which conflict with the user's preference for soft acoustic texture.""
}",0,1,1,1
1455,XXgtN7TA1V8,XXgtN7TA1V8_LqTg77a6R9I,cf_lyrical_piano,emotional;piano;slow,hip-hop,3,1,2,1,1,0.6727272727272727,"Allow me to recommend 'Дежавю' by Just name. It's a track from their album 'Дежавю'. The song combines elements of Hip-Hop, R&B, and pop with a slow tempo and a piano-driven sound. It has a soothing and emotional vibe that could be a perfect fit for your video.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with slow tempo and emotional vibe.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with slow tempo and emotional vibe.""
}",1,1,1,0
3052,3fFKAJXuLEM,3fFKAJXuLEM_emMlEvTKAN8,cf_lyrical_piano,acoustic;calm;gentle;lyrical;melody;piano;sentimental;slow;soft,,9,0,9,1,0,0.6666666666666667,"I recommend 'SO FAR AWAY' by PIT featuring BIG FITZ DA POET. It's a track with lyrical piano background music that aligns with your preferences. The song has a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",1,0,strong,"The generated explanation matches the counterfactual preference in terms of tempo, texture, melody, and mood.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference in terms of tempo, texture, melody, and mood.""
}",1,0,1,1
2609,iwxzc2MlkRg,iwxzc2MlkRg_UB7-5vH_veA,cf_lyrical_piano,emotional;lyrical;piano;sentimental;slow,,5,0,5,1,0,0.5333333333333333,"Allow me to recommend 'Chora Brother' by Mahalo. It's a track from their album 'Chora Brother'. The song combines elements of rock, pop, and indie with a touch of alternative. It has a slow tempo and features lyrical piano, which aligns well with the emotional and sentimental mood you're looking for.",1,0,strong,The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation aligns well with the counterfactual preference for lyrical piano music with a slow tempo and sentimental mood.""
}",1,0,1,1
2688,7Rd-wFSnrTY,7Rd-wFSnrTY_a1_I0dYcqos,cf_lyrical_piano,lyrical;piano;sentimental;slow,electronic;hip-hop,4,2,2,1,1,0.6140350877192983,"Allow me to recommend 'Drop Da Tint' by Gunplay. It's a track from the album 'Dreams' and combines elements of Hip-Hop, electronic, and rock with a touch of pop. The song has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.",1,0,strong,"The recommendation includes lyrical piano music and a slow tempo, aligning with the user's preference for sentimental and calming music.","{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation includes lyrical piano music and a slow tempo, aligning with the user's preference for sentimental and calming music.""
}",1,1,1,0
2216,GavrpKnU4Hc,GavrpKnU4Hc_T7QYuPMt_68,cf_lyrical_piano,acoustic;emotional;lyrical;piano;slow,,5,0,5,1,0,0.5272727272727273,"Allow me to recommend 'Gratidão' by Dunamis. It's a track from their album 'Gratidão'. The song combines elements of rock, pop, and indie with a touch of alternative and acoustic. It has a slow tempo and features a piano, which can create a lyrical and emotional atmosphere for your video.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with slow tempo and emotional atmosphere.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with slow tempo and emotional atmosphere.""
}",1,0,1,1
3563,O8k8XT6gLzI,O8k8XT6gLzI_cgKt90e0500,cf_lyrical_piano,acoustic;piano;slow,,3,0,3,1,0,0.4821428571428571,"Allow me to recommend 'ひとり' by LOSTAGE. It's a track from their album 'ひとり'. The song combines elements of rock, indie, and alternative with a focus on guitar and piano. It has a slow tempo and a soothing acoustic sound that could be a fitting choice for your video.",1,0,strong,The generated explanation matches the counterfactual preference's lyrical piano music with slow tempo and soft acoustic texture.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The generated explanation matches the counterfactual preference's lyrical piano music with slow tempo and soft acoustic texture.""
}",1,0,1,1
2172,sBTkevwy9xo,sBTkevwy9xo_i8Q6ZmEVZxI,cf_lyrical_piano,acoustic;calm;piano;sentimental;slow,electronic,5,1,4,1,1,0.5666666666666667,"Allow me to recommend 'Louder Than Words' by ES Posthumus. It's a track from their album 'Louder Than Words'. This song combines elements of rock, electronic, and alternative genres with a focus on piano and vocals. It has a slow tempo and a soothing acoustic texture that can create a calm and sentimental atmosphere for your video.",1,0,strong,The recommendation matches the counterfactual preference for lyrical piano music with slow tempo and calm sentimental mood.,"{
""is_aligned"": true,
""has_conflict"": false,
""alignment_strength"": ""strong"",
""reason"": ""The recommendation matches the counterfactual preference for lyrical piano music with slow tempo and calm sentimental mood.""
}",1,1,1,0
