sample_idx,video_id,gt_music_id,condition,condition_description,claim_id,claim_text,claim_type,support_source,removed_source,is_supported,unsupported_reason,generated_text,llm_support_source,llm_is_supported,llm_reason,llm_raw,rule_support_source,rule_is_supported,agree_support_source,agree_is_supported
2882,1yNEohtQSW8,1yNEohtQSW8_OBsuZx3xPcQ,full,all modalities available; title/artist injection follows INJECT_TITLE,4,alternative with female vocals.,audio,audio-supported,,1,source_available,"Allow me to recommend 'Vivre à en crever' by Mozart Opera Rock. It's a track from their album 'Vivre à en crever'. The song combines elements of rock, pop, and alternative with female vocals. It was released in 2005 and may contain the specific elements you're looking for.",audio-supported,1,Claim is supported by the description of the song's genre and vocals.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's genre and vocals.""
}",audio-supported,1,1,1
323,7KnEzXBwovQ,7KnEzXBwovQ_VdzigTcir9U,full,all modalities available; title/artist injection follows INJECT_TITLE,3,"This song combines elements of hip-hop, pop",audio,audio-supported,,1,source_available,"Certainly! I recommend '너 때문에' by 2PM. It's a track from their album 'HOTTEST EVERYWHERE'. This song combines elements of hip-hop, pop, and electronic music, which aligns well with the Korean music scene. It has a catchy beat and features male vocals, which adds a unique touch to the track.",audio-supported,1,Claim is supported by the description of music genre and style in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of music genre and style in the explanation.""
}",audio-supported,1,1,1
780,5ZVQ6_Hd4zc,5ZVQ6_Hd4zc_58ip325ZOu8,full,all modalities available; title/artist injection follows INJECT_TITLE,4,ambient with chillout vibes.,unknown,unsupported,,0,no_detected_support_source,"Allow me to recommend 'Sunshine' by Breezewax. It's a track from their album 'Sunshine'. It combines elements of electronic, indie, and ambient with chillout vibes. The song features female vocals, which could be a fitting choice for your video.",audio-supported,1,"The explanation mentions 'chillout vibes' and 'female vocals', which are audio-related features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The explanation mentions 'chillout vibes' and 'female vocals', which are audio-related features.""
}",unsupported,0,0,0
3915,4Q4VQyHfiPI,4Q4VQyHfiPI_5KMORmZGYRc,full,all modalities available; title/artist injection follows INJECT_TITLE,2,It's a track from their album 'Se siente el party'.,audio,audio-supported,,1,source_available,"Allow me to recommend 'Se siente el party' by Jhon KPO & Edsson. It's a track from their album 'Se siente el party'. It combines elements of electronic, pop, and Hip-Hop with catchy vocals and a beat-driven sound. It was released in 2013 and may contain the specific elements you're looking for.",audio-supported,1,Claim is supported by the music sound and genre information provided.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the music sound and genre information provided.""
}",audio-supported,1,1,1
3003,0J808gIog1o,0J808gIog1o_PoJFn_RIdkg,full,all modalities available; title/artist injection follows INJECT_TITLE,1,"In that case, I would recommend 'Kimi no sobade' by Sayaka Shionoya.",general,general-supported,,1,source_available,"In that case, I would recommend 'Kimi no sobade' by Sayaka Shionoya. This track has a strong electronic and pop influence, with a powerful female vocal. It's part of the album 'Kimi no sobade' and would be a great fit for your video.",audio-supported,1,Recommendation depends on music genre and style mentioned in the explanation.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation depends on music genre and style mentioned in the explanation.""
}",general-supported,1,0,1
3129,TcfxyMRLVRg,TcfxyMRLVRg_U9CmRdMAtIc,full,all modalities available; title/artist injection follows INJECT_TITLE,3,"The song combines elements of pop, rock",audio,audio-supported,,1,source_available,"Allow me to recommend '懸崖上的玫瑰' by 陳妍希. It's a track from her album '懸崖上的玫瑰'. The song combines elements of pop, rock, and indie with a touch of folk. It features Michelle Chen's distinctive female vocals, which aligns well with your preferences.",audio-supported,1,"The claim references music genre and style, which are audio-based features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim references music genre and style, which are audio-based features.""
}",audio-supported,1,1,1
1240,Tqo1UOK1I44,Tqo1UOK1I44_skTcQLUZKEA,full,all modalities available; title/artist injection follows INJECT_TITLE,1,Allow me to recommend 'Generación 12' by Generación 12.,general,general-supported,,1,source_available,"Allow me to recommend 'Generación 12' by Generación 12. It's a track from their album 'Generación 12'. It combines elements of rock, indie, and alternative with electronic beats that could be a fitting choice for your video. It also has indie rock and drum influences that you mentioned.",audio-supported,1,Recommendation relies on music genre and style mentioned in the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation relies on music genre and style mentioned in the audio modality.""
}",general-supported,1,0,1
2673,6I0Dv46ZgZE,6I0Dv46ZgZE_eZEP4QbTics,full,all modalities available; title/artist injection follows INJECT_TITLE,1,Allow me to recommend 'The Last Goodbye' by The Rasmus.,general,general-supported,,1,source_available,"Allow me to recommend 'The Last Goodbye' by The Rasmus. It's a track from their album 'The Last Goodbye'. The song combines elements of rock, indie, and alternative with a touch of metal. It has a slow and melodic sound with guitar-driven melodies. The track was released in 2012 and could be a fitting choice for your video.",audio-supported,1,"Claim relies on music genre, sound, and artist information.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre, sound, and artist information.""
}",general-supported,1,0,1
3463,Ga9vrr_fB-k,Ga9vrr_fB-k_nGpQxNRnNtQ,full,all modalities available; title/artist injection follows INJECT_TITLE,4,It has a fast-paced beat,audio,audio-supported,,1,source_available,"Certainly! How about 'Never Fear Dem' by Advance? It's a track from their album 'Never Fear Dem'. This song combines elements of Hip-Hop, electronic, and dance music. It has a fast-paced beat and a catchy rhythm that could add a dynamic touch to your video.",audio-supported,1,Claim is supported by the description of the song's rhythm and tempo.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the description of the song's rhythm and tempo.""
}",audio-supported,1,1,1
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,full,all modalities available; title/artist injection follows INJECT_TITLE,2,It's a track from his album 'Fe'.,audio,audio-supported,,1,source_available,"Allow me to recommend 'Fe' by Juaninacka. It's a track from his album 'Fe'. It combines elements of hip-hop, electronic, and rock genres, with a chillout vibe. The song was released in 2012 and has a unique blend of genres that could be a fitting choice for your video.",audio-supported,1,"The claim references the song's album title 'Fe', which is audio-related information.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim references the song's album title 'Fe', which is audio-related information.""
}",audio-supported,1,1,1
1322,pgoDe__Fm-Y,pgoDe__Fm-Y_vf4LLox2GTE,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,"It combines elements of pop, rock",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'Kodaline' by Kodaline. It's a track from their album 'Kodaline'. It combines elements of pop, rock, and indie with female vocalists, which could be a fitting choice for your video. It has a techno and fast-paced sound too.",audio-supported,1,Claim is supported by the presence of music genre and style information in the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by the presence of music genre and style information in the audio modality.""
}",audio-supported,0,1,0
2254,Fr2ZASMNaa0,Fr2ZASMNaa0_fQZL6kaJav0,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,5,It was released in 2014,unknown,unsupported,audio-supported,0,no_detected_support_source,"Allow me to recommend 'DJ Caique - 'Aqui Eu' by Dj Caique. It's a track from his album 'DJ Caique'. It combines elements of hip-hop, electronic, and rock with indie and male vocal influences that could be a fitting choice for your video. It was released in 2014 and has a unique style that aligns with your preferences.",audio-supported,1,The release year is mentioned in the audio metadata.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The release year is mentioned in the audio metadata.""
}",unsupported,0,0,0
4087,khe8nWxLC6A,khe8nWxLC6A_GM5NClxKzV4,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,"It combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'Troy Nathans - The Best of Troy Nathans'. It's a track from his album 'The Best of Troy Nathans'. It combines elements of hip-hop, electronic, and pop with a focus on vocal and guitar. It was released in 2012 and may contain the specific elements you want.",audio-supported,1,Claim relies on music genre and style information from audio features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from audio features.""
}",audio-supported,0,1,0
1528,lXhW9YQhkEU,lXhW9YQhkEU_tGlKac8RVS4,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,6,a catchy title that will appeal to fans of electronic,audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Certainly, I recommend 'Electronic and 80s Influences' by The Chainsmokers. It's an electronic track that combines elements of rock, pop, and 80s with a touch of electronic and 80s influences. It has a fast-paced techno-beat and a catchy title that will appeal to fans of electronic and 80s influences.",audio-supported,1,"The claim relies on the music's title and genre, which are audio-based features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The claim relies on the music's title and genre, which are audio-based features.""
}",audio-supported,0,1,0
2688,7Rd-wFSnrTY,7Rd-wFSnrTY_a1_I0dYcqos,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,"Although I don't have much information about this specific track, it aligns with your interest in hip hop",preference,preference-supported,audio-supported,1,source_available,"I suggest checking out 'Gunplay' by Gunplay. It's a track that combines elements of hip hop, electronic, and rock genres. Although I don't have much information about this specific track, it aligns with your interest in hip hop and electronic music.",audio-supported,1,"Claim relies on the user's interest in hip hop music, which is inferred from audio features.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on the user's interest in hip hop music, which is inferred from audio features.""
}",preference-supported,1,0,1
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,4,dance feel to it.,video,video-supported,audio-supported,1,source_available,"In that case, I would recommend 'Electronic and Dance' by Lady Gaga. This track is a perfect fit for your video, as it has an electronic and dance feel to it. It's a great choice for a music video that needs a bit of an electronic and dance vibe.",audio-supported,1,Claim relies on the music's genre and style to infer a 'dance feel' without relying on visual cues.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on the music's genre and style to infer a 'dance feel' without relying on visual cues.""
}",video-supported,1,0,1
3963,Wu8w5gYs6ZI,Wu8w5gYs6ZI_RzKd8etBkhQ,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,2,It's a track from Vinyl Therapy's album 'The Best of the Best'.,audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'Vinyl Therapy - The Best of the Best'. It's a track from Vinyl Therapy's album 'The Best of the Best'. It combines elements of hip-hop, electronic, and jazz with a chillout vibe that could be a fitting choice for your video. It was released in 2012 and has a unique style that incorporates elements of soul and jazz.",audio-supported,1,Claim is supported by audio features and genre information.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by audio features and genre information.""
}",audio-supported,0,1,0
2813,TFAyPoHmcBQ,TFAyPoHmcBQ_H_K1mi0EPdQ,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,4,"indie vibe, which aligns with your preferences.",preference,preference-supported,audio-supported,1,source_available,"In that case, I would recommend 'Rock and Indie' by The Vaccines. This track has a rock and indie vibe, which aligns with your preferences. It falls under the genres of rock, indie, and alternative, with elements of electronic and pop. It's a great choice for your video.",audio-supported,1,Claim relies on music genre and style information from audio features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from audio features.""
}",preference-supported,1,0,1
3754,GI6_MCrDl6o,GI6_MCrDl6o_fYEhUcWefXY,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,"It combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'Avicii' by Avicii. It's a track from their album 'Avicii'. It combines elements of hip-hop, electronic, and pop with female vocalists. It has a techno and fast-paced electronic beats that could be a fitting choice for your video.",audio-supported,1,Claim relies on music genre and style information from audio features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from audio features.""
}",audio-supported,0,1,0
1311,CSvBwXlOQPY,CSvBwXlOQPY_iZOXwI35PZY,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,"Although I don't have specific information about this track, it aligns with the hip-hop",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"I suggest 'Hip-Hop' by Kendrick Lamarre. It's a track that combines elements of hip-hop, electronic, and ambient music. Although I don't have specific information about this track, it aligns with the hip-hop and ambient elements you're looking for.",audio-supported,1,Claim relies on music genre and style information from the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from the audio modality.""
}",audio-supported,0,1,0
357,aXgXFr89wpY,aXgXFr89wpY_5cdy3zeBS0w,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,2,"It's a track that combines elements of hip-hop, rock",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'Hip Hop' by The Hip Hop. It's a track that combines elements of hip-hop, rock, and electronic beats with male vocals. Although I don't have specific information about the track name, album name, or artists, it aligns well with your preferences for hip-hop, rock, and electronic beats with male vocals.",audio-supported,1,Claim relies on music genre and style information from audio features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from audio features.""
}",audio-supported,0,1,0
1036,YhFYuZyr5Yo,YhFYuZyr5Yo_vBqoI_4em_o,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,1,"Certainly, I recommend 'The Charlatans - 'The Charlatans' by The Charlatans.",general,general-supported,audio-supported,1,source_available,"Certainly, I recommend 'The Charlatans - 'The Charlatans' by The Charlatans. It's a track from their album 'The Charlatans'. The song combines elements of rock, indie, and alternative with a touch of electronic and techno influences. It has a fast-paced and loud sound with a mix of guitar and drums, which could be a fitting choice for your video.",audio-supported,1,"Recommendation relies on music genre, style, and sound characteristics.","{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation relies on music genre, style, and sound characteristics.""
}",general-supported,1,0,1
3605,Iyy9VDuS3oM,Iyy9VDuS3oM_4oB7o8Tl9so,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,2,"It's a track by ARTMATA, a collective of artists, musicians",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'ARTMATA - A.R.T.M.A.'. It's a track by ARTMATA, a collective of artists, musicians, and activists. It combines elements of indie, alternative, and electronic music with a focus on drums. It was released in 2012 and has a unique style that could be a fitting choice for your video.",audio-supported,1,Claim relies on music metadata and genre information.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music metadata and genre information.""
}",audio-supported,0,1,0
3463,Ga9vrr_fB-k,Ga9vrr_fB-k_nGpQxNRnNtQ,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,1,I suggest checking out 'Hip-Hop' by M.I.T.,audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"I suggest checking out 'Hip-Hop' by M.I.T. It's a track that combines elements of Hip-Hop with electronic and dance music. Although I don't have specific information about the track name, album name, or artists, it aligns with the Hip-Hop genre and could be a fitting choice for your video.",audio-supported,1,Claim relies on music genre and style information from audio features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from audio features.""
}",audio-supported,0,1,0
2316,Z9ry7JQTl6g,Z9ry7JQTl6g_lHhZJeHP7Ac,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,6,has a techno sound too.,audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"Allow me to recommend 'I'm Gonna Be (500 Miles High)' by Stuart Wilson. It's a track from his album 'I'm Gonna Be (500 Miles High)'. It combines elements of pop, soul, and electronic with a catchy beat that could be a fitting choice for your video. It features female vocals and has a techno sound too.",audio-supported,1,Claim relies on the description of the song's sound and genre.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on the description of the song's sound and genre.""
}",audio-supported,0,1,0
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,"This track is a perfect fit for your video, as it has an electronic",video,video-supported,audio-supported,1,source_available,"In that case, I would recommend 'Electronic and Dance' by Lady Gaga. This track is a perfect fit for your video, as it has an electronic and dance feel to it. It's a great choice for a music video that needs a bit of an electronic and dance vibe.",audio-supported,1,Claim relies on the music genre and style mentioned in the audio modality.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on the music genre and style mentioned in the audio modality.""
}",video-supported,1,0,1
3290,6fAbkc0sdtA,6fAbkc0sdtA_3L1cePInKU8,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,4,It has a techno,unknown,unsupported,audio-supported,0,no_detected_support_source,"Certainly, I recommend 'Chillout' by The Chillout Crew. It's a track that combines elements of Hip-Hop, electronic, and rock with chillout vibes and female vocalists. It has a techno and fast-paced beat that could be a fitting choice for your video.",audio-supported,1,Claim relies on music sound and genre features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music sound and genre features.""
}",unsupported,0,0,0
1615,M7GS21LLo3o,M7GS21LLo3o_znyeIK_Zsz0,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,3,It's a track from their album 'I'm Not Sorry'.,audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"I understand this recommendation. In that case, I would like to recommend 'I'm Not Sorry' by The Stereo MCs. It's a track from their album 'I'm Not Sorry'. It combines elements of pop, rock, and folk with female vocals, which could be a fitting choice for your video.",audio-supported,1,The recommendation is based on the music sound and genre mentioned in the input.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""The recommendation is based on the music sound and genre mentioned in the input.""
}",audio-supported,0,1,0
839,_0kWPBMmYEU,_0kWPBMmYEU_p21n2iGmd_s,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,4,"Although I don't have specific information about the track name, album name, or artists, it aligns well with your preferences for hip-hop, soul",preference,preference-supported,audio-supported,1,source_available,"Allow me to recommend 'Hip Hop' by T.I.C. It's a track that combines elements of hip-hop, soul, and pop with electronic beats and female vocals. Although I don't have specific information about the track name, album name, or artists, it aligns well with your preferences for hip-hop, soul, and pop with electronic beats and female vocals.",audio-supported,1,Claim relies on music genre and style information from audio features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music genre and style information from audio features.""
}",preference-supported,1,0,1
2711,YJtkZTx7fmE,YJtkZTx7fmE_uJdYPnlSqEs,wo_audio_all,music feature is zeroed and title/artist metadata injection is disabled,1,"In that case, I would recommend 'Soulful - Indie Vibe - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Ind",audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_all,"In that case, I would recommend 'Soulful - Indie Vibe - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Indie Wedding - Ind",audio-supported,1,Recommendation relies on music genre and style (Indie Vibe) for the wedding playlist.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Recommendation relies on music genre and style (Indie Vibe) for the wedding playlist.""
}",audio-supported,0,1,0
3673,h5Dl5y6er04,h5Dl5y6er04_rHV4SRg0aSU,wo_audio_feature_only,"music feature is zeroed, but title/artist metadata is kept",5,It has a fast-paced,audio,audio-supported,audio-supported,0,source_removed_by_wo_audio_feature_only,"In that case, I recommend 'Ezra by David R Black'. It's a track from David R Black's album 'Ezra by David R Black'. The album features a mix of rock and punk vibe tracks with electronic, indie, and alternative genres. It has a fast-paced and loud sound with a mix of techno and loud elements.",audio-supported,1,Claim is supported by audio features such as tempo and rhythm.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim is supported by audio features such as tempo and rhythm.""
}",audio-supported,0,1,0
3915,4Q4VQyHfiPI,4Q4VQyHfiPI_5KMORmZGYRc,wo_audio_feature_only,"music feature is zeroed, but title/artist metadata is kept",1,Allow me to recommend 'Jhon KPO & Edsson' by Jhon KPO & Edsson.,general,general-supported,audio-supported,1,source_available,"Allow me to recommend 'Jhon KPO & Edsson' by Jhon KPO & Edsson. It's a track that combines elements of electronic, Hip-Hop, and rock genres. It has a fast-paced and energetic sound with a mix of techno and drum influences. It could be a fitting choice for your video.",audio-supported,1,Claim relies on music sound and genre features.,"{
  ""support_source"": ""audio-supported"",
  ""is_supported"": true,
  ""reason"": ""Claim relies on music sound and genre features.""
}",general-supported,1,0,1
