exp,sample_idx,video_id,claim_id,claim_text,claim_type,support_source,parent_source,attribute_terms,verification,reference_positive_evidence,reference_negative_evidence
full,147,CX5a4IWs26Q,3,The song has a unique blend of electronic beats,audio,audio-supported,audio-supported,,,,
full,147,CX5a4IWs26Q,4,"rock influences, which could add an interesting dynamic to your video.",audio,audio-supported,audio-supported,,,,
full,232,YuHgyJXc2d0,1,Allow me to recommend 'Olen Somelainen' by Karim Z.Yskowicz.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,232,YuHgyJXc2d0,2,It's a track from his album 'Olen Somelainen'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,232,YuHgyJXc2d0,3,"It combines elements of dance, pop",audio,audio-supported,audio-supported,,,,
full,232,YuHgyJXc2d0,4,electronic music with Hip-Hop,unknown,unsupported,audio-supported,,,,
full,232,YuHgyJXc2d0,5,The song has a fast-paced,audio,audio-supported,audio-supported,,,,
full,232,YuHgyJXc2d0,6,energetic vibe that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,262,P3jifWfHfig,1,How about 'Réunion 2012' by SGP Team ft Doug'las?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,262,P3jifWfHfig,2,"It's a track that combines elements of hip-hop, rock",audio,audio-supported,audio-supported,,,,
full,262,P3jifWfHfig,3,alternative with a male vocal,audio,audio-supported,audio-supported,,,,
full,262,P3jifWfHfig,4,"Although I don't have much information about this specific track, it seems to align well with the genres",unknown,unsupported,prompt-supported,,,,
full,262,P3jifWfHfig,5,vocal style you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,267,KyKn6hdF_ok,1,Allow me to recommend 'Honey Bee' by スピッツ.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,267,KyKn6hdF_ok,2,It's a track from their album 'Honey Bee'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,267,KyKn6hdF_ok,3,"It combines elements of alternative rock, pop",audio,audio-supported,audio-supported,,,,
full,267,KyKn6hdF_ok,4,fast-paced guitar-driven sound that could be a fitting choice for your video.,video,video-supported,video-supported,,,,
full,267,KyKn6hdF_ok,5,The song features male vocals,audio,audio-supported,audio-supported,,,,
full,267,KyKn6hdF_ok,6,"was released in 2005, which may contain the specific elements you want.",prompt,prompt-supported,prompt-supported,,,,
full,271,T6KPb4tsHBI,1,I recommend 'Handz' by M featuring Lil Ro.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,271,T6KPb4tsHBI,2,It's a track from Lil Ro's album 'Handz'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,271,T6KPb4tsHBI,3,The song combines hip-hop,metadata,metadata-supported,metadata-supported,hip-hop,supported,,
full,271,T6KPb4tsHBI,4,"electronic genres, with a focus on electronic beats",audio,audio-supported,audio-supported,,,,
full,271,T6KPb4tsHBI,5,It was released in 2013,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,271,T6KPb4tsHBI,6,energetic vibe that could be a great fit for your video.,audio,audio-supported,audio-supported,,,,
full,282,2hmtOxkXNZ8,1,How about 'ELEGIA' by APGAR SOLO?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,282,2hmtOxkXNZ8,2,"It's a track that combines elements of hip-hop, rock",audio,audio-supported,audio-supported,,,,
full,282,2hmtOxkXNZ8,3,"Although I don't have much information about the specific album or artists, the song itself has a unique blend of genres that could add an interesting touch to your video.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,294,a7zMsx9Mmh0,1,"In that case, I would recommend 'Reps Up Montreal' by I.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,294,a7zMsx9Mmh0,2,This track has an alternative,metadata,metadata-supported,metadata-supported,alternative,not_found,,
full,294,a7zMsx9Mmh0,3,"indie feel to it, with elements of Hip-Hop, electronic, rock",metadata,metadata-supported,metadata-supported,electronic;hip-hop;indie;rock,partially_supported,,
full,294,a7zMsx9Mmh0,4,It's part of the album 'Reps Up Montreal',metadata,metadata-supported,metadata-supported,,uncheckable,,
full,294,a7zMsx9Mmh0,5,was released in 2011.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,324,5NJk1JT5KHw,1,How about 'I tak mnie nie znasz' by Jordas feat?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,324,5NJk1JT5KHw,2,"It's a track that combines elements of hip-hop, rock, jazz",audio,audio-supported,audio-supported,,,,
full,324,5NJk1JT5KHw,3,"Although I don't have much information about this specific track, it seems to align with your desired genres.",unknown,unsupported,unsupported,,,,
full,324,5NJk1JT5KHw,4,It could be a fitting choice for your video.,general,general-supported,general-supported,,,,
full,335,HgABvzJnlJg,1,How about 'Pasja' by Giera 89?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,335,HgABvzJnlJg,2,"It's a track that combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,,,,
full,335,HgABvzJnlJg,3,rock with experimental influences.,audio,audio-supported,audio-supported,,,,
full,335,HgABvzJnlJg,4,"Although I don't have much information about this specific track, it might be worth checking out for its unique blend of genres.",unknown,unsupported,unsupported,,,,
full,363,pGK_sukBKh4,1,I recommend 'Test' by Nosta Feat Sofian.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,363,pGK_sukBKh4,2,"It's a track that combines elements of hip-hop, R&B",audio,audio-supported,audio-supported,,,,
full,363,pGK_sukBKh4,3,"Although I don't have specific information about the album or artists, the track itself has a mix of electronic",metadata,metadata-supported,metadata-supported,electronic,supported,,
full,363,pGK_sukBKh4,4,"pop influences, which could add a unique touch to your video.",audio,audio-supported,audio-supported,,,,
full,391,ACH0CU0gxBw,1,I suggest checking out 'Understand Me' by Presto Dibiase.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,391,ACH0CU0gxBw,2,It's a hip-hop track with electronic,unknown,unsupported,audio-supported,,,,
full,391,ACH0CU0gxBw,3,The song has a fast-paced beat,audio,audio-supported,audio-supported,,,,
full,391,ACH0CU0gxBw,4,"male vocals, which align with the hip-hop",audio,audio-supported,audio-supported,,,,
full,391,ACH0CU0gxBw,5,electronic elements you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,402,RYnJQ3Fsvgw,1,Allow me to recommend 'The Drug In Me Is You' by Falling In Reverse.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,402,RYnJQ3Fsvgw,2,It's a track from their album 'The Drug In Me Is You'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,402,RYnJQ3Fsvgw,3,"The song combines elements of rock, heavy metal",audio,audio-supported,audio-supported,,,,
full,402,RYnJQ3Fsvgw,4,"punk, which aligns well with the intense",unknown,unsupported,prompt-supported,,,,
full,402,RYnJQ3Fsvgw,5,energetic vibe you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,402,RYnJQ3Fsvgw,6,It was released in 2011,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,402,RYnJQ3Fsvgw,7,fast-paced sound that could be a fitting choice for your video.,video,video-supported,video-supported,,,,
full,422,HQdmbzK4pUk,1,Allow me to recommend 'VENTOLINE' by Yassine.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,422,HQdmbzK4pUk,2,It's a track from the album 'VENTOLINE' by Yassine.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,422,HQdmbzK4pUk,3,"The song combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,,,,
full,422,HQdmbzK4pUk,4,It also has some electronic beats,audio,audio-supported,audio-supported,,,,
full,422,HQdmbzK4pUk,5,drum elements that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,431,ekQJ3VmZdA8,1,I recommend 'Twende Nao Sawa' by Blac ft Domokaya.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,431,ekQJ3VmZdA8,2,It's a soulful track with electronic,unknown,unsupported,audio-supported,,,,
full,431,ekQJ3VmZdA8,3,The song was released in 2012,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,431,ekQJ3VmZdA8,4,has a catchy beat,audio,audio-supported,audio-supported,,,,
full,431,ekQJ3VmZdA8,5,It aligns well with the soul,unknown,unsupported,prompt-supported,,,,
full,431,ekQJ3VmZdA8,6,electronic elements you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,434,uIp3dHFTzFA,1,Allow me to recommend 'Run Away' by Czar.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,434,uIp3dHFTzFA,2,It's a track from his album 'Run Away'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,434,uIp3dHFTzFA,3,"The song combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,,,,
full,434,uIp3dHFTzFA,4,"indie genres, which aligns well with the electronic",audio,audio-supported,audio-supported,,,,
full,434,uIp3dHFTzFA,5,indie influences you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,434,uIp3dHFTzFA,6,It has a fast-paced beat,audio,audio-supported,audio-supported,,,,
full,434,uIp3dHFTzFA,7,synth sounds that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,454,sliGVW57LNc,1,I recommend 'Zéhéf - Keep It Real' by ZEHEF.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,454,sliGVW57LNc,2,It's a track from their album 'Keep It Real',metadata,metadata-supported,metadata-supported,,uncheckable,,
full,454,sliGVW57LNc,3,"combines elements of 90s hip-hop, soul",audio,audio-supported,audio-supported,,,,
full,454,sliGVW57LNc,4,The song has a chillout vibe with a mix of electronic beats,audio,audio-supported,audio-supported,,,,
full,454,sliGVW57LNc,5,It was released in 2014,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,454,sliGVW57LNc,6,could be a fitting choice for your video.,general,general-supported,general-supported,,,,
full,458,pjPt3wst5kU,1,Allow me to recommend 'LA VÉRITÉ' by DEM.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,458,pjPt3wst5kU,2,It's a track from their album 'LA VÉRITÉ'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,458,pjPt3wst5kU,3,"The song combines elements of hip-hop, R&B",audio,audio-supported,audio-supported,,,,
full,458,pjPt3wst5kU,4,soul with female vocals.,audio,audio-supported,audio-supported,,,,
full,458,pjPt3wst5kU,5,It was released in 2013,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,458,pjPt3wst5kU,6,emotional vibe that could be a fitting choice for your video.,general,general-supported,general-supported,,,,
full,464,dbqdq02F_xs,1,"In that case, I would recommend '追憶のリロケート' by TOKYO VENOM.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,464,dbqdq02F_xs,2,"This track is a perfect fit for your video as it combines elements of dance, pop",audio,audio-supported,audio-supported,,,,
full,464,dbqdq02F_xs,3,It features female vocals,audio,audio-supported,audio-supported,,,,
full,464,dbqdq02F_xs,4,energetic vibe that will add a dynamic touch to your video.,audio,audio-supported,audio-supported,,,,
full,472,5SKS_xcBS5w,1,Allow me to recommend 'Levelling The Land' by The Levellers.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,472,5SKS_xcBS5w,2,It's a track from their album 'Levelling The Land'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,472,5SKS_xcBS5w,3,"The song combines elements of indie rock, alternative rock",audio,audio-supported,audio-supported,,,,
full,472,5SKS_xcBS5w,4,pop with a touch of 80s influence.,audio,audio-supported,audio-supported,,,,
full,472,5SKS_xcBS5w,5,It was released in 2009,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,472,5SKS_xcBS5w,6,may contain the specific elements you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,507,KVkCNazp81U,1,Allow me to recommend '快樂快樂' by 蘇打綠.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,507,KVkCNazp81U,2,It's a track from their album '快樂快樂'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,507,KVkCNazp81U,3,"The song combines elements of rock, indie",audio,audio-supported,audio-supported,,,,
full,507,KVkCNazp81U,4,pop with alternative influences.,audio,audio-supported,audio-supported,,,,
full,507,KVkCNazp81U,5,upbeat sound that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,517,y6bA4iBzN6o,1,"In that case, I would recommend 'Immortal King' by Tamuya Thrash Tribe.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,517,y6bA4iBzN6o,2,This track is instrumental,audio,audio-supported,audio-supported,,,,
full,517,y6bA4iBzN6o,3,"falls under the genres of metal, heavy metal, rock",audio,audio-supported,audio-supported,,,,
full,517,y6bA4iBzN6o,4,It has a powerful,unknown,unsupported,audio-supported,,,,
full,517,y6bA4iBzN6o,5,intense sound that will add a unique touch to your video.,audio,audio-supported,audio-supported,,,,
full,519,8nynhOhU6_I,1,How about 'Air Balloon' by Lily Allen?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,519,8nynhOhU6_I,2,"It's a track that combines elements of R&B, electronic",audio,audio-supported,audio-supported,,,,
full,519,8nynhOhU6_I,3,The song has a catchy beat,audio,audio-supported,audio-supported,,,,
full,519,8nynhOhU6_I,4,features Lily Allen's distinctive vocals.,metadata,metadata-supported,metadata-supported,vocal;vocals,not_found,,
full,519,8nynhOhU6_I,5,It could be a great choice to incorporate R&B,general,general-supported,general-supported,,,,
full,519,8nynhOhU6_I,6,indie influences into your video.,audio,audio-supported,audio-supported,,,,
full,587,uh4j6lGVwYk,1,"In that case, I would recommend 'Vida de Patrão' by MC Romarinho.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,587,uh4j6lGVwYk,2,"This track combines elements of Hip-Hop, electronic, pop",audio,audio-supported,audio-supported,,,,
full,587,uh4j6lGVwYk,3,It has a catchy beat,audio,audio-supported,audio-supported,,,,
full,587,uh4j6lGVwYk,4,a vibrant energy that will add variety to your video.,unknown,unsupported,audio-supported,,,,
full,593,U5p1VMH4Vwc,1,Allow me to recommend 'You Belong With Me (Taylor's Version)' by Taylor Swift.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,593,U5p1VMH4Vwc,2,rock track with female vocals.,audio,audio-supported,audio-supported,,,,
full,593,U5p1VMH4Vwc,3,The song has a catchy,unknown,unsupported,audio-supported,,,,
full,593,U5p1VMH4Vwc,4,upbeat sound that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,593,U5p1VMH4Vwc,5,It was released as a single,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,593,U5p1VMH4Vwc,6,has a music video available on YouTube.,unknown,unsupported,metadata-supported,,,,
full,596,XL_zQ2eTFTg,1,"In that case, I would recommend the music video for 'The Edge Of Glory' by Lady Gaga.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,596,XL_zQ2eTFTg,2,This track has a techno,audio,audio-supported,audio-supported,,,,
full,596,XL_zQ2eTFTg,3,electronic sound with a female vocalist.,audio,audio-supported,audio-supported,,,,
full,596,XL_zQ2eTFTg,4,It's part of the album 'The Edge Of Glory',metadata,metadata-supported,metadata-supported,,uncheckable,,
full,596,XL_zQ2eTFTg,5,would be a great fit for your video.,general,general-supported,general-supported,,,,
full,613,jGCyuexh7xw,1,How about 'Falling In Love Again' by Kill Paris featuring Marty Rod & Alma?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,613,jGCyuexh7xw,2,It's an electronic track with elements of dance,unknown,unsupported,unsupported,,,,
full,613,jGCyuexh7xw,3,The song has a catchy beat,audio,audio-supported,audio-supported,,,,
full,613,jGCyuexh7xw,4,synth-driven sound that could add a vibrant,audio,audio-supported,audio-supported,,,,
full,613,jGCyuexh7xw,5,energetic vibe to your video.,audio,audio-supported,audio-supported,,,,
full,633,bIFJO1BcMwY,1,Allow me to recommend 'Feel So Lost' by Lee Burgos.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,633,bIFJO1BcMwY,2,It's a track from the album 'Feel So Lost'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,633,bIFJO1BcMwY,3,"This song combines elements of pop, rock",audio,audio-supported,audio-supported,,,,
full,633,bIFJO1BcMwY,4,"electronic genres, with female vocals.",audio,audio-supported,audio-supported,,,,
full,633,bIFJO1BcMwY,5,It has a catchy,unknown,unsupported,audio-supported,,,,
full,633,bIFJO1BcMwY,6,energetic vibe that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,662,8shUjTKagp8,1,Allow me to recommend 'BABARIA' by El Vega.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,662,8shUjTKagp8,2,It's a track from their album 'BABARIA'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,662,8shUjTKagp8,3,"It combines elements of hip-hop, electronic",audio,audio-supported,audio-supported,,,,
full,662,8shUjTKagp8,4,dance with indie influences that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,662,8shUjTKagp8,5,It was released in 2014,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,733,czthLeDtnNQ,1,"In that case, I would recommend 'Jokowi Sang Pemimpin' by D'Raiden band.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,733,czthLeDtnNQ,2,This track has a patriotic,unknown,unsupported,unsupported,,,,
full,733,czthLeDtnNQ,3,"uplifting feel, perfect for your video about Jokowi.",unknown,unsupported,unsupported,,,,
full,733,czthLeDtnNQ,4,"It falls under the genres of rock, indie, alternative",audio,audio-supported,audio-supported,,,,
full,733,czthLeDtnNQ,5,"pop, with elements of guitar",audio,audio-supported,audio-supported,,,,
full,740,4f6TJkutA50,1,If you're looking for a heavier,prompt,prompt-supported,prompt-supported,,,,
full,740,4f6TJkutA50,2,"more intense track, I would recommend 'No More Sorrow' by Linkin Park.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,740,4f6TJkutA50,3,This track is known for its powerful,unknown,unsupported,video-supported,,,,
full,740,4f6TJkutA50,4,"energetic sound, perfect for creating a visually captivating video.",video,video-supported,video-supported,,,,
full,740,4f6TJkutA50,5,"It falls under the genres of metal, rock, heavy metal",audio,audio-supported,audio-supported,,,,
full,787,lWXHOj5fxlw,1,How about 'Give Your Heart A Break' by Demi Lovato?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,787,lWXHOj5fxlw,2,rock track with electronic,unknown,unsupported,audio-supported,,,,
full,787,lWXHOj5fxlw,3,The song features Demi Lovato's powerful vocals,metadata,metadata-supported,metadata-supported,vocal;vocals,supported,,
full,787,lWXHOj5fxlw,4,"combines elements of pop, rock",audio,audio-supported,audio-supported,,,,
full,787,lWXHOj5fxlw,5,It could be a perfect fit for your video.,general,general-supported,general-supported,,,,
full,826,kxN-VHNaNKE,1,Allow me to recommend 'Sunshine' by AZP.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,826,kxN-VHNaNKE,2,It's a track from their album 'Sunshine'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,826,kxN-VHNaNKE,3,"It combines elements of indie, folk",audio,audio-supported,audio-supported,,,,
full,826,kxN-VHNaNKE,4,rock with a touch of jazz.,unknown,unsupported,audio-supported,,,,
full,826,kxN-VHNaNKE,5,The song features slow-paced drums,audio,audio-supported,audio-supported,,,,
full,826,kxN-VHNaNKE,6,a guitar-focused sound that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,856,gsSXKMK0VCo,1,"In that case, I would recommend 'Here Comes the Sun' by Nina Simone.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,856,gsSXKMK0VCo,2,This track has a vintage feel with its jazz,unknown,unsupported,unsupported,,,,
full,856,gsSXKMK0VCo,3,It's part of the album 'Here Comes the Sun',metadata,metadata-supported,metadata-supported,,uncheckable,,
full,856,gsSXKMK0VCo,4,would be a great fit for your video.,general,general-supported,general-supported,,,,
full,865,5GpmqR5uUBA,1,Allow me to recommend 'Dorehami' by Tohi featuring Shervin.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,865,5GpmqR5uUBA,2,It's a track from Tohi's album 'Dorehami'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,865,5GpmqR5uUBA,3,"The song combines elements of hip-hop, pop",audio,audio-supported,audio-supported,,,,
full,865,5GpmqR5uUBA,4,electronic music with male vocals,audio,audio-supported,audio-supported,,,,
full,865,5GpmqR5uUBA,5,It was released in 2014,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,865,5GpmqR5uUBA,6,may contain the specific elements you're looking for.,prompt,prompt-supported,prompt-supported,,,,
full,921,HH6jFd4Wn4U,1,Allow me to recommend 'Forever (Radio Edit)' by Wolfgang Gartner ft; 12th Planet.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,921,HH6jFd4Wn4U,2,It's a track from Wolfgang Gartner's album 'Forever (Radio Edit)'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,921,HH6jFd4Wn4U,3,"It combines elements of house, electro",audio,audio-supported,audio-supported,,,,
full,921,HH6jFd4Wn4U,4,dance with a fast-paced techno beat that could be a fitting choice for your video.,video,video-supported,video-supported,,,,
full,921,HH6jFd4Wn4U,5,It was released in 2012 which may contain the specific element you want.,prompt,prompt-supported,prompt-supported,,,,
full,932,qSYpcMeAJeA,1,Allow me to recommend 'Wrong Train' by DJ B & Vessy K feat;.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,932,qSYpcMeAJeA,2,It's a track from their album 'Wrong Train'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,932,qSYpcMeAJeA,3,"This song combines elements of soul, jazz",audio,audio-supported,audio-supported,,,,
full,932,qSYpcMeAJeA,4,funk with a focus on vocals,audio,audio-supported,audio-supported,,,,
full,932,qSYpcMeAJeA,5,It was released in 2012,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,932,qSYpcMeAJeA,6,upbeat sound that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,938,TRjWPZFqQN8,1,How about 'Fragments' by Circle Of Alchemists?,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,938,TRjWPZFqQN8,2,It's a track from their album 'Fragments'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,938,TRjWPZFqQN8,3,"The song combines elements of pop, electronic",audio,audio-supported,audio-supported,,,,
full,938,TRjWPZFqQN8,4,"rock genres, which could be a fitting choice for your video.",audio,audio-supported,audio-supported,,,,
full,938,TRjWPZFqQN8,5,It has a female vocalist,audio,audio-supported,audio-supported,,,,
full,938,TRjWPZFqQN8,6,a techno sound that adds an electronic touch to the music.,audio,audio-supported,audio-supported,,,,
full,951,De44s3w2iZA,1,If you're looking for a more intense,prompt,prompt-supported,prompt-supported,,,,
full,951,De44s3w2iZA,2,"heavy feel, I would recommend 'Ivan by Chao'.",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,951,De44s3w2iZA,3,"This track falls under the genres of rock, metal, alternative",audio,audio-supported,audio-supported,,,,
full,951,De44s3w2iZA,4,It has a powerful,unknown,unsupported,audio-supported,,,,
full,951,De44s3w2iZA,5,energetic sound that will add a strong emotional impact to your video.,audio,audio-supported,audio-supported,,,,
full,1025,VvuwEiCtVO8,1,I suggest checking out 'Je t'aime' by Zaho.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,1025,VvuwEiCtVO8,2,It's a track from her album 'Je t'aime'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,1025,VvuwEiCtVO8,3,"The song combines elements of hip-hop, pop",audio,audio-supported,audio-supported,,,,
full,1025,VvuwEiCtVO8,4,soul with Zaho's distinctive female vocals.,audio,audio-supported,audio-supported,,,,
full,1025,VvuwEiCtVO8,5,It was released in 2009,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,1025,VvuwEiCtVO8,6,could be a fitting choice for your video.,general,general-supported,general-supported,,,,
full,1056,kHzC8YAe2Oc,1,Allow me to recommend 'Gabroo' by Avtar Rai from the album 'Just Rai'.,metadata,metadata-supported,metadata-supported,,uncheckable,,
full,1056,kHzC8YAe2Oc,2,"It's a track that combines elements of electronic, dance",audio,audio-supported,audio-supported,,,,
full,1056,kHzC8YAe2Oc,3,pop with a touch of rock,unknown,unsupported,audio-supported,,,,
full,1056,kHzC8YAe2Oc,4,The song has a fast-paced,audio,audio-supported,audio-supported,,,,
full,1056,kHzC8YAe2Oc,5,energetic vibe that could be a fitting choice for your video.,audio,audio-supported,audio-supported,,,,
full,1061,N6RMg8iZbbQ,1,"In that case, I would recommend 'Black Tz N Hoodyz' by Bread Ed featuring JB Da Original",metadata,metadata-supported,metadata-supported,,uncheckable,,
full,1061,N6RMg8iZbbQ,2,This track has a strong hip-hop,unknown,unsupported,audio-supported,,,,
