condition,sample_idx,claim_id,claim_text,parent_sentence,bucket,bucket_label,subtype,evidence_note,genre_terms,genre_verification,genre_missing,quoted_names,quoted_verification,needs_human_review,human_bucket,human_is_genuine_error,human_note,generated_text
full,448,2,It's an electronic dance track with pop,It's an electronic dance track with pop and house influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;house;pop,supported,,,not_applicable,0,,,,Certainly! How about 'LA TOALLA' by ANAÍS vs THE BOYS MACHINE y BABY? It's an electronic dance track with pop and house influences. The song has a catchy beat and energetic vibe that could be a perfect fit for your video.
full,512,5,The song has a pop,The song has a pop and dance vibe that could be a fitting choice for your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_general-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;pop,partially_supported,dance,,not_applicable,0,,,,"Allow me to recommend 'В Двух шагах' by Darryl. It's a track from their album 'В Двух шагах'. It combines elements of hip-hop, R&B, and electronic music with female vocals. The song has a pop and dance vibe that could be a fitting choice for your video."
full,553,3,"pop, creating a unique","This track combines elements of hip-hop, electronic, and pop, creating a unique and catchy sound.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;hip-hop;pop,supported,,,not_applicable,0,,,,"Certainly! I would recommend 'In The Zone' by LZ. This track combines elements of hip-hop, electronic, and pop, creating a unique and catchy sound. It's part of the album 'In The Zone' and would be a great fit for your video."
full,562,2,This track has a 90s vibe,"This track has a 90s vibe and combines elements of Hip-Hop, electronic, and alternative genres.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",alternative;electronic;hip-hop,supported,,,not_applicable,0,,,,"In that case, I would recommend 'If I Hit The Lotto' by Rayzr. This track has a 90s vibe and combines elements of Hip-Hop, electronic, and alternative genres. It's part of the album 'If I Hit The Lotto' and offers a unique blend of sounds that will add a nostalgic touch to your video."
full,627,2,It's a reggaeton track with hip-hop,It's a reggaeton track with hip-hop and dance influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;hip-hop,supported,,,not_applicable,0,,,,Certainly! How about 'Vem com a firma Parte 2' by MC Juninho da FVL? It's a reggaeton track with hip-hop and dance influences. The song has a catchy beat and energetic vibe that could add a dynamic element to your video.
full,685,3,"It also has a touch of 80s influence, which adds a nostalgic feel to the music.","It also has a touch of 80s influence, which adds a nostalgic feel to the music.",E4_vague_generic,一般性空泛描述／主觀陳述,subjective_statement,泛用效用或主觀陳述，本質上不具可驗證性,,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'Why God Made Love Songs' by Joel Crouse. This track has a pop sound with elements of rock, indie, and alternative. It also has a touch of 80s influence, which adds a nostalgic feel to the music. It's a perfect fit for your video."
full,777,4,electronic music from the 70s.,"This song combines elements of classic rock, pop, and electronic music from the 70s.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;pop;rock,supported,,,not_applicable,0,,,,"Certainly! I recommend 'Lovely Fire' by Stefano Ercolino. It's a track from his album 'Lovely Fire'. This song combines elements of classic rock, pop, and electronic music from the 70s. It has a catchy and energetic vibe that could be a fitting choice for your video."
full,777,5,It has a catchy,It has a catchy and energetic vibe that could be a fitting choice for your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"Certainly! I recommend 'Lovely Fire' by Stefano Ercolino. It's a track from his album 'Lovely Fire'. This song combines elements of classic rock, pop, and electronic music from the 70s. It has a catchy and energetic vibe that could be a fitting choice for your video."
full,781,6,has a unique blend of genres that could add a dynamic,It was released in 2012 and has a unique blend of genres that could add a dynamic and diverse sound to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_metadata-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"Certainly! I recommend 'Be Staunch' by This Side Up. It's a track from their album 'Be Staunch'. This song combines elements of hip-hop, funk, and soul with electronic beats and a techno influence. It was released in 2012 and has a unique blend of genres that could add a dynamic and diverse sound to your video."
full,806,2,This track has a pop,This track has a pop and electro sound with elements of dance and house.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;house;pop,supported,,,not_applicable,0,,,,"In that case, I would recommend 'La Musica (The Trumpeter)' by Ray Foxx featuring Lovelle. This track has a pop and electro sound with elements of dance and house. It's part of the album 'La Musica (The Trumpeter)' and would be a great fit for your video."
full,863,3,It's a high-energy song that will get people moving.,It's a high-energy song that will get people moving.,E4_vague_generic,一般性空泛描述／主觀陳述,generic_video_benefit,泛用效用或主觀陳述，本質上不具可驗證性,,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'A Quien Le Importa' by Thalia. This track is a perfect fit for your needs as it combines dance, pop, and electronic elements. It's a high-energy song that will get people moving. It's part of the album 'A Quien Le Importa' by Thalia."
full,910,3,This track is a popular hit that has a catchy,This track is a popular hit that has a catchy and upbeat sound.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"Certainly! If you're looking for an electronic and dance vibe, I would recommend 'Happy' by Pharrell Williams. This track is a popular hit that has a catchy and upbeat sound. It falls under the genres of electronic, dance, pop, and indie, which will give your video a lively and energetic feel."
full,910,5,"indie, which will give your video a lively","It falls under the genres of electronic, dance, pop, and indie, which will give your video a lively and energetic feel.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;indie;pop,supported,,,not_applicable,0,,,,"Certainly! If you're looking for an electronic and dance vibe, I would recommend 'Happy' by Pharrell Williams. This track is a popular hit that has a catchy and upbeat sound. It falls under the genres of electronic, dance, pop, and indie, which will give your video a lively and energetic feel."
full,916,3,It has a unique,It has a unique and captivating sound that would add a touch of elegance and depth to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'Beethoven's 5 Secrets' by The Piano Guys. This track is an instrumental piece that combines elements of ambient, indie, and rock. It has a unique and captivating sound that would add a touch of elegance and depth to your video."
full,916,5,depth to your video.,It has a unique and captivating sound that would add a touch of elegance and depth to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'Beethoven's 5 Secrets' by The Piano Guys. This track is an instrumental piece that combines elements of ambient, indie, and rock. It has a unique and captivating sound that would add a touch of elegance and depth to your video."
full,1036,4,alternative with a touch of pop.,"The song combines elements of rock, indie, and alternative with a touch of pop.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",alternative;indie;pop;rock,supported,,,not_applicable,0,,,,"Certainly! I suggest 'Up At The Lake' by The Charlatans. It's a track from their album 'Up At The Lake'. The song combines elements of rock, indie, and alternative with a touch of pop. It has a guitar-driven sound and features male vocals. It could be a fitting choice for your video."
full,1083,3,"The song combines hip-hop, electronic, pop, R&B","The song combines hip-hop, electronic, pop, R&B, and rock elements, which aligns well with Porta's distinctive style.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;hip-hop;pop;r&b;rock,supported,,,not_applicable,0,,,,"I suggest checking out 'Porta' by Porta. It's a track from his album 'Porta'. The song combines hip-hop, electronic, pop, R&B, and rock elements, which aligns well with Porta's distinctive style. It was released in 2014 and has a catchy and energetic vibe that could be a great fit for your video."
full,1207,5,It has a rock vibe,It has a rock vibe and was released in 2012.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_metadata-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",rock,supported,,,not_applicable,0,,,,"Allow me to recommend 'Nuestra Vida' by Nada Que Objetar. It's a track from their album 'Nuestra Vida'. The song combines elements of indie rock, alternative, and indie with a focus on guitar and drum. It has a rock vibe and was released in 2012."
full,1226,2,dance track with electronic,It's a pop and dance track with electronic and rock influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;pop;rock,partially_supported,rock,,not_applicable,0,,,,"Allow me to recommend 'Tú y yo' by Santaye. It's a pop and dance track with electronic and rock influences. The song features a female vocalist and was released in 2014. It aligns well with the pop, dance, and electronic genres you're looking for."
full,1226,5,"It aligns well with the pop, dance","It aligns well with the pop, dance, and electronic genres you're looking for.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_prompt-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;pop,supported,,,not_applicable,0,,,,"Allow me to recommend 'Tú y yo' by Santaye. It's a pop and dance track with electronic and rock influences. The song features a female vocalist and was released in 2014. It aligns well with the pop, dance, and electronic genres you're looking for."
full,1311,3,"The song combines hip-hop, electronic","The song combines hip-hop, electronic, and ambient genres, which could be a fitting choice for your video.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",ambient;electronic;hip-hop,supported,,,not_applicable,0,,,,"Allow me to recommend 'ANIMAL - DREAM (VIDEO) (CLIMATE CHANGE MIXTAPE) by Mickey Factz. It's a track from the album 'CLIMATE CHANGE MIXTAPE'. The song combines hip-hop, electronic, and ambient genres, which could be a fitting choice for your video. It has a chill and ambient vibe with electronic elements."
full,1311,5,It has a chill,It has a chill and ambient vibe with electronic elements.,E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,ambient;electronic,supported,,,not_applicable,0,,,,"Allow me to recommend 'ANIMAL - DREAM (VIDEO) (CLIMATE CHANGE MIXTAPE) by Mickey Factz. It's a track from the album 'CLIMATE CHANGE MIXTAPE'. The song combines hip-hop, electronic, and ambient genres, which could be a fitting choice for your video. It has a chill and ambient vibe with electronic elements."
full,1311,6,ambient vibe with electronic elements.,It has a chill and ambient vibe with electronic elements.,E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,ambient;electronic,supported,,,not_applicable,0,,,,"Allow me to recommend 'ANIMAL - DREAM (VIDEO) (CLIMATE CHANGE MIXTAPE) by Mickey Factz. It's a track from the album 'CLIMATE CHANGE MIXTAPE'. The song combines hip-hop, electronic, and ambient genres, which could be a fitting choice for your video. It has a chill and ambient vibe with electronic elements."
full,1395,3,It offers a fresh,It offers a fresh and experimental sound that will add a distinctive touch to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'UN ALTRO TIRO' by FRATELLI QUINTALE. This track has a unique blend of Hip-Hop, electronic, rock, indie, and alternative genres. It offers a fresh and experimental sound that will add a distinctive touch to your video."
full,1401,4,"pop rock, which aligns well with the indie","The song combines elements of indie, alternative, and pop rock, which aligns well with the indie and alternative rock style you're looking for.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_prompt-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",alternative;indie;pop;rock,partially_supported,indie,,not_applicable,0,,,,"Allow me to recommend 'ソレカラ' by ソレカラ. It's a track from their album 'ソレカラ'. The song combines elements of indie, alternative, and pop rock, which aligns well with the indie and alternative rock style you're looking for. It has a guitar-driven sound and features male vocals."
full,1455,2,This track has a strong Hip-Hop,"This track has a strong Hip-Hop and R&B influence, along with ambient elements.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",ambient;hip-hop;r&b,supported,,,not_applicable,0,,,,"In that case, I would recommend 'Дежавю' by Just name. This track has a strong Hip-Hop and R&B influence, along with ambient elements. It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video."
full,1455,5,offers a unique blend of genres that will add depth,It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_metadata-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,Дежавю,supported,0,,,,"In that case, I would recommend 'Дежавю' by Just name. This track has a strong Hip-Hop and R&B influence, along with ambient elements. It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video."
full,1455,6,emotion to your video.,It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_metadata-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,Дежавю,supported,0,,,,"In that case, I would recommend 'Дежавю' by Just name. This track has a strong Hip-Hop and R&B influence, along with ambient elements. It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video."
full,1489,5,will add a dynamic,It's a perfect fit for your video and will add a dynamic and energetic vibe to your visuals.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_video-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'Maxin' by Wes Krave. This track has a strong electronic influence and combines elements of Hip-Hop, R&B, dance, and ambient. It's a perfect fit for your video and will add a dynamic and energetic vibe to your visuals."
full,1509,2,This track has a mainstream,"This track has a mainstream and contemporary sound, with a female vocalist.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,"In that case, I would recommend 'Hüftgold' by Miss Platnum feat. 257. This track has a mainstream and contemporary sound, with a female vocalist. It falls under the genres of pop, electronic, and R&B, which will give your video a catchy and modern vibe."
full,1509,5,"R&B, which will give your video a catchy","It falls under the genres of pop, electronic, and R&B, which will give your video a catchy and modern vibe.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;pop;r&b,supported,,,not_applicable,0,,,,"In that case, I would recommend 'Hüftgold' by Miss Platnum feat. 257. This track has a mainstream and contemporary sound, with a female vocalist. It falls under the genres of pop, electronic, and R&B, which will give your video a catchy and modern vibe."
full,1528,2,It's an electronic track with elements of rock,It's an electronic track with elements of rock and 80s music.,E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,electronic;rock,supported,,,not_applicable,0,,,,Certainly! How about 'Morning Sun' by Strange Talk? It's an electronic track with elements of rock and 80s music. The song has a fast-paced techno sound and features male vocals. It could add a unique and nostalgic touch to your video.
full,1528,4,It could add a unique,It could add a unique and nostalgic touch to your video.,E4_vague_generic,一般性空泛描述／主觀陳述,subjective_statement,泛用效用或主觀陳述，本質上不具可驗證性,,not_applicable,,,not_applicable,0,,,,Certainly! How about 'Morning Sun' by Strange Talk? It's an electronic track with elements of rock and 80s music. The song has a fast-paced techno sound and features male vocals. It could add a unique and nostalgic touch to your video.
full,1528,5,nostalgic touch to your video.,It could add a unique and nostalgic touch to your video.,E4_vague_generic,一般性空泛描述／主觀陳述,subjective_statement,泛用效用或主觀陳述，本質上不具可驗證性,,not_applicable,,,not_applicable,0,,,,Certainly! How about 'Morning Sun' by Strange Talk? It's an electronic track with elements of rock and 80s music. The song has a fast-paced techno sound and features male vocals. It could add a unique and nostalgic touch to your video.
full,1596,3,The song has a catchy,The song has a catchy and upbeat sound that could be a great fit for your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,Certainly! How about 'Blah Blah Blah' by Ke$ha? It's a pop track with strong female vocals. The song has a catchy and upbeat sound that could be a great fit for your video. It's from the album 'Blah Blah Blah' and was released in 2010.
full,1601,2,dance track with elements of pop,It's an electronic and dance track with elements of pop and indie.,E0b_rule_miss_verified,規則漏判但有證據支持,genre_claim_verified_by_tags,曲風敘述可由 musicnn 標籤／參考文本支持；v2 因 GENRE_TERMS 需搭配 anchor 詞才計為 audio 而漏判,dance;electronic;indie;pop,supported,,,not_applicable,0,,,,Certainly! How about 'Ducking' by Fadda Fox? It's an electronic and dance track with elements of pop and indie. The song has a fast-paced beat and catchy melodies that could add a lively and energetic vibe to your video.
full,1601,4,catchy melodies that could add a lively,The song has a fast-paced beat and catchy melodies that could add a lively and energetic vibe to your video.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_video-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",,not_applicable,,,not_applicable,0,,,,Certainly! How about 'Ducking' by Fadda Fox? It's an electronic and dance track with elements of pop and indie. The song has a fast-paced beat and catchy melodies that could add a lively and energetic vibe to your video.
full,1679,2,This track has a pop,This track has a pop and electronic sound with female vocals.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",electronic;pop,supported,,,not_applicable,0,,,,"In that case, I would recommend 'Sexy' by Rain. This track has a pop and electronic sound with female vocals. It's part of the album 'Sexy' and it's a great choice for your video."
full,1685,2,dance track with electronic,It's a pop and dance track with electronic and house influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;house;pop,partially_supported,house,,not_applicable,0,,,,Certainly! How about 'Dynamite' by Taio Cruz featuring Britney Spears? It's a pop and dance track with electronic and house influences. The song has a catchy beat and energetic vibe that could complement your video. It's from the album 'Dynamite' and features Britney Spears' vocals.
full,1698,4,soul with a touch of dance.,"The song combines elements of pop, electronic, and soul with a touch of dance.",E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",dance;electronic;pop;soul,partially_supported,soul,,not_applicable,0,,,,"Allow me to recommend 'Bacchanalist' by Kerwin Du Bois. It's a track from his album 'Bacchanalist'. The song combines elements of pop, electronic, and soul with a touch of dance. It has a 80s vibe and features guitar and rock influences. The music video for this track was directed by Kerwin Du Bois and produced by Kerwin Du Bois and Kerwin Du Bois Productions."
full,1698,5,It has a 80s vibe,It has a 80s vibe and features guitar and rock influences.,E0_clause_split_artifact,斷句碎片（標註流程假影）,parent_audio-supported,"母句可歸屬，unsupported 係 split_claims 於 and/, 處切斷所致",rock,not_found,rock,,not_applicable,0,,,,"Allow me to recommend 'Bacchanalist' by Kerwin Du Bois. It's a track from his album 'Bacchanalist'. The song combines elements of pop, electronic, and soul with a touch of dance. It has a 80s vibe and features guitar and rock influences. The music video for this track was directed by Kerwin Du Bois and produced by Kerwin Du Bois and Kerwin Du Bois Productions."
