no,condition,claim_text,parent_sentence,rule_bucket,rule_label,human_bucket,human_is_genuine_error,human_genuine_inferred,rule_is_genuine_error,agree_bucket,human_note
22,full,electronic music from the 70s.,"This song combines elements of classic rock, pop, and electronic music from the 70s.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
23,full,It has a catchy,It has a catchy and energetic vibe that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
24,full,has a unique blend of genres that could add a dynamic,It was released in 2012 and has a unique blend of genres that could add a dynamic and diverse sound to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
25,full,This track has a pop,This track has a pop and electro sound with elements of dance and house.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
26,full,It's a high-energy song that will get people moving.,It's a high-energy song that will get people moving.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
27,full,This track is a popular hit that has a catchy,This track is a popular hit that has a catchy and upbeat sound.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
28,full,"indie, which will give your video a lively","It falls under the genres of electronic, dance, pop, and indie, which will give your video a lively and energetic feel.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
29,full,It has a unique,It has a unique and captivating sound that would add a touch of elegance and depth to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
30,full,depth to your video.,It has a unique and captivating sound that would add a touch of elegance and depth to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
31,full,alternative with a touch of pop.,"The song combines elements of rock, indie, and alternative with a touch of pop.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
32,full,"The song combines hip-hop, electronic, pop, R&B","The song combines hip-hop, electronic, pop, R&B, and rock elements, which aligns well with Porta's distinctive style.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
33,full,It has a rock vibe,It has a rock vibe and was released in 2012.,E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
34,full,dance track with electronic,It's a pop and dance track with electronic and rock influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
35,full,"It aligns well with the pop, dance","It aligns well with the pop, dance, and electronic genres you're looking for.",E0,斷句碎片（標註流程假影）,E1,1,1,0,0,
36,full,"The song combines hip-hop, electronic","The song combines hip-hop, electronic, and ambient genres, which could be a fitting choice for your video.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
37,full,It has a chill,It has a chill and ambient vibe with electronic elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
38,full,ambient vibe with electronic elements.,It has a chill and ambient vibe with electronic elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
39,full,It offers a fresh,It offers a fresh and experimental sound that will add a distinctive touch to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
40,full,"pop rock, which aligns well with the indie","The song combines elements of indie, alternative, and pop rock, which aligns well with the indie and alternative rock style you're looking for.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
41,full,This track has a strong Hip-Hop,"This track has a strong Hip-Hop and R&B influence, along with ambient elements.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
42,full,offers a unique blend of genres that will add depth,It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
43,full,emotion to your video.,It's part of the album 'Дежавю' and offers a unique blend of genres that will add depth and emotion to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
44,full,will add a dynamic,It's a perfect fit for your video and will add a dynamic and energetic vibe to your visuals.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
45,full,This track has a mainstream,"This track has a mainstream and contemporary sound, with a female vocalist.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
46,full,"R&B, which will give your video a catchy","It falls under the genres of pop, electronic, and R&B, which will give your video a catchy and modern vibe.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
47,full,It's an electronic track with elements of rock,It's an electronic track with elements of rock and 80s music.,E0b,規則漏判但有證據支持,E0b,0,1,0,1,
48,full,It could add a unique,It could add a unique and nostalgic touch to your video.,E4,一般性空泛描述／主觀陳述,E0,0,1,1,0,
49,full,nostalgic touch to your video.,It could add a unique and nostalgic touch to your video.,E4,一般性空泛描述／主觀陳述,E0,0,1,1,0,
50,full,The song has a catchy,The song has a catchy and upbeat sound that could be a great fit for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
51,full,dance track with elements of pop,It's an electronic and dance track with elements of pop and indie.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
52,full,catchy melodies that could add a lively,The song has a fast-paced beat and catchy melodies that could add a lively and energetic vibe to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
53,full,This track has a pop,This track has a pop and electronic sound with female vocals.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
54,full,dance track with electronic,It's a pop and dance track with electronic and house influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
55,full,soul with a touch of dance.,"The song combines elements of pop, electronic, and soul with a touch of dance.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
56,full,It has a 80s vibe,It has a 80s vibe and features guitar and rock influences.,E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
57,full,"incorporates electronic elements, which could add a unique touch to your video.","The song has a fast beat and incorporates electronic elements, which could add a unique touch to your video.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
58,full,This track has a rock,"This track has a rock and alternative sound, with elements of indie and pop.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
59,full,pop with a dance vibe.,"It combines elements of hip-hop, electronic, and pop with a dance vibe.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
60,full,This track has a dance,This track has a dance and electronic sound with female vocals.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
61,full,This track has a rock,This track has a rock and alternative sound with elements of Hip-Hop and electronic.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
62,full,captures the essence of the 00s.,It was released in 2009 and captures the essence of the 00s.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
63,full,dance with a touch of rock.,"The song combines elements of Hip-Hop, electronic, and dance with a touch of rock.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
64,full,dynamic vibe to your video.,"It has a fast-paced techno beat and male vocals, which could add an energetic and dynamic vibe to your video.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
65,full,"hard rock, which aligns well with the intense","This song combines elements of rock, punk, and hard rock, which aligns well with the intense and energetic vibe you're looking for.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
66,full,could add a unique touch to your video.,It was released in 2013 and could add a unique touch to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
67,full,It's a remix of the original track,"It's a remix of the original track and combines elements of pop, dance, and electronic music.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
68,full,alternative with a touch of punk.,"The song combines elements of rock, indie, and alternative with a touch of punk.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
69,full,"The song combines rock, electronic","The song combines rock, electronic, and indie elements, which aligns well with ES Posthumus' style.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
70,full,This track could be a great addition to your video.,This track could be a great addition to your video.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
71,full,This track has a strong Hip-Hop,"This track has a strong Hip-Hop and R&B influence, with electronic and indie elements.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
72,full,"It's a track that combines rock, indie, pop, blues","It's a track that combines rock, indie, pop, blues, and alternative genres.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
73,full,It's a track from his mixtape 'The Tay Tape'.,It's a track from his mixtape 'The Tay Tape'.,E6,可能幻覺,E6,1,1,1,1,
74,full,This track has a 90s rock,"This track has a 90s rock and alternative sound, which aligns well with Luke Thompson's style.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
75,full,It's a beautiful song that captures the essence of love,It's a beautiful song that captures the essence of love and friendship.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
76,full,It also has ambient,It also has ambient and indie influences that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
77,full,This track is a pop,This track is a pop and dance song with electronic elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
78,full,dance song with electronic elements.,This track is a pop and dance song with electronic elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
79,full,pop with a rock vibe.,"This song combines elements of electronic, house, and pop with a rock vibe.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
80,full,dynamic touch to your video.,"It has a fast-paced techno sound and features female vocals, which can add an energetic and dynamic touch to your video.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
81,full,"It's a soulful track with elements of pop, rock","It's a soulful track with elements of pop, rock, and 80s influences.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
82,full,It could be a great addition to your video.,It could be a great addition to your video.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
83,full,The song has a relaxed,The song has a relaxed and soothing vibe that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
84,full,has a unique blend of genres that could add a distinctive touch to your video.,It was released in 2013 and has a unique blend of genres that could add a distinctive touch to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
85,full,It's a hip-hop track with electronic,It's a hip-hop track with electronic and dance influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
86,full,is available on iTunes.,It was released in 2014 and is available on iTunes.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
87,full,a romantic vibe that would be perfect for your video.,This track has a catchy chorus and a romantic vibe that would be perfect for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
88,full,alternative with a touch of metal.,"This song combines elements of rock, indie, and alternative with a touch of metal.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
89,full,It has a catchy,It has a catchy and energetic sound that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
90,full,This track has a soulful,"This track has a soulful and indie sound, with elements of pop and rock.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
91,full,It's a dance track with electronic,It's a dance track with electronic and pop elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
92,full,It has a unique,It has a unique and distinctive sound that could add an experimental and indie vibe to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
93,full,indie vibe to your video.,It has a unique and distinctive sound that could add an experimental and indie vibe to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
94,full,This track has a rock,This track has a rock and indie sound with elements of alternative and pop.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
95,full,would add a unique,It's part of the album 'Sunshine' and would add a unique and energetic vibe to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
96,full,This track has a pop,This track has a pop and electronic sound with female vocals.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
97,full,pop with a soulful,"It combines elements of hip-hop, R&B, and pop with a soulful and electronic sound.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
98,full,It's a hip-hop track with electronic,It's a hip-hop track with electronic and rock influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
99,full,It has a catchy,It has a catchy and melodic sound that could be a great fit for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
100,full,It's a pop track with electronic,It's a pop track with electronic and rock elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
101,full,It's a track that combines hip-hop,It's a track that combines hip-hop and spoken word elements.,E0b,規則漏判但有證據支持,E0b,0,1,0,1,
102,full,The song has a soulful,"The song has a soulful and introspective vibe, which could add a unique touch to your video.",E4,一般性空泛描述／主觀陳述,E0,0,1,1,0,
103,full,"introspective vibe, which could add a unique touch to your video.","The song has a soulful and introspective vibe, which could add a unique touch to your video.",E4,一般性空泛描述／主觀陳述,E0,0,1,1,0,
104,full,It's a hip-hop track with electronic,It's a hip-hop track with electronic and rock influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
105,full,"This track combines electronic, Hip-Hop","This track combines electronic, Hip-Hop, and jazz elements, creating a unique and captivating sound.",E0,斷句碎片（標註流程假影）,E2,1,1,0,0,
106,full,"jazz elements, creating a unique","This track combines electronic, Hip-Hop, and jazz elements, creating a unique and captivating sound.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
107,full,indie with a touch of folk.,"The song combines elements of pop, rock, and indie with a touch of folk.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
108,full,R&B track with electronic,It's a hip-hop and R&B track with electronic and pop influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
109,full,It could add a unique touch to your video.,It could add a unique touch to your video.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
110,full,It's a chillout track with electronic,It's a chillout track with electronic and indie influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
111,full,soul with a strong emotional message.,"This song combines elements of hip-hop, rock, and soul with a strong emotional message.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
112,full,This track has a rock,This track has a rock and indie sound with elements of alternative and indie rock.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
113,full,It's a rock track with elements of pop,It's a rock track with elements of pop and hard rock.,E0b,規則漏判但有證據支持,E0b,0,1,0,1,
114,full,captivating element to your video.,"The song features Elize Ryd's powerful female vocals, which will add a dynamic and captivating element to your video.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
115,full,This track has an electronic,This track has an electronic and indie sound with elements of pop and rock.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
116,full,catchy vibe to your video.,It has a unique blend of sounds that will add a dynamic and catchy vibe to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
117,full,blues with a pop,"The song combines elements of rock, soul, and blues with a pop and electronic sound.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
118,full,This track aligns well with the alternative,This track aligns well with the alternative and indie rock influences you're looking for.,E0,斷句碎片（標註流程假影）,E1,1,1,0,0,
119,full,edgy feel to your video.,It has a fast-paced and energetic sound that will add a rebellious and edgy feel to your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
120,full,It's a track from his mixtape 'Bout That Life'.,It's a track from his mixtape 'Bout That Life'.,E6,可能幻覺,E6,1,1,1,1,
121,full,jazz with a slow,"The song combines elements of pop, folk, and jazz with a slow and acoustic sound.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
122,full,rock track with electronic,It's a pop and rock track with electronic and indie influences.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
123,full,It has a catchy,It has a catchy and energetic vibe that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
124,full,folk-inspired track with elements of rock,It's an acoustic and folk-inspired track with elements of rock and indie.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
125,full,pop with a dance vibe.,"It combines elements of electronic, indie, and pop with a dance vibe.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
126,full,The song has a catchy,The song has a catchy and energetic sound that could be a fitting choice for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
127,full,It's an electronic track with ambient,It's an electronic track with ambient and chillout elements.,E0b,規則漏判但有證據支持,E0,0,1,0,0,
128,full,It could add a soothing,It could add a soothing and atmospheric touch to your video.,E4,一般性空泛描述／主觀陳述,E0,0,1,1,0,
129,full,atmospheric touch to your video.,It could add a soothing and atmospheric touch to your video.,E4,一般性空泛描述／主觀陳述,E0,0,1,1,0,
130,full,This track has a chillout,"This track has a chillout and electronic sound, perfect for creating a relaxed and laid-back atmosphere.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
131,full,This track has a 90s vibe,"This track has a 90s vibe and combines elements of Hip-Hop, jazz, electronic, rock, and pop.",E0,斷句碎片（標註流程假影）,E0b,0,1,0,0,
132,full,soul with a chillout vibe.,"It combines elements of hip-hop, electronic, jazz, and soul with a chillout vibe.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
133,full,It has a unique blend of genres that could add a touch of diversity to your video.,It has a unique blend of genres that could add a touch of diversity to your video.,E4,一般性空泛描述／主觀陳述,E4,1,1,1,1,
134,full,"soul elements, creating a smooth","This track has a beautiful blend of pop, R&B, and soul elements, creating a smooth and soulful sound.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
135,full,It's perfect for adding a touch of romance to your wedding video.,It's perfect for adding a touch of romance to your wedding video.,E3,影片內容不支持,E3,1,1,1,1,
136,full,This track has a strong electronic,"This track has a strong electronic and house influence, perfect for creating a lively and energetic atmosphere.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
137,full,was used in events like the 2014 Vancouver International Wine Festival.,It's part of the album 'Bring It Back' and was used in events like the 2014 Vancouver International Wine Festival.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
138,full,It's a rock track with elements of alternative,It's a rock track with elements of alternative and indie music.,E0b,規則漏判但有證據支持,E0b,0,1,0,1,
139,full,The song has a powerful,The song has a powerful and energetic sound that could be a great fit for your video.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
140,full,has a music video that captures the essence of the song.,It was released in 2013 and has a music video that captures the essence of the song.,E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
141,full,catchy vibe to your video.,"It has a fast-paced beat and male vocals, which could add a dynamic and catchy vibe to your video.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
142,full,"It's an electronic track with elements of pop, indie","It's an electronic track with elements of pop, indie, and rock.",E2,音樂元資料不支持,E0b,0,1,1,0,
143,full,indie with a touch of pop.,"This song combines elements of classic rock, alternative, and indie with a touch of pop.",E0,斷句碎片（標註流程假影）,E0,0,1,0,1,
