sample_idx,video_id,gt_music_id,preference_variant,user_text,original_user_text,generated_text,reference_text,music_title,music_artist,is_fallback,scope_note
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","In that case, I would recommend 'Stadt der Engel' by Massendefekt. This track is from their album 'Stadt der Engel' and it perfectly captures the upbeat electronic vibe you're looking for. It has a bright mood, clear rhythm, energetic beats, and a modern dance or pop feel. It's a great choice for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,0,prompt_text_changed_only_precomputed_text_feature_unchanged
166,QKvUGxF7qzA,QKvUGxF7qzA_scdO5HE8so4,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","That sounds good, but I would also like to incorporate some rock and punk elements in the music recommendation. I'm interested in fast-paced and loud tracks with guitar and techno influences.","Allow me to recommend 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines elements of rock, alternative, and indie with a touch of electronic. It has a slow tempo and features lyrical piano, which can create a soothing and sentimental atmosphere for your video.","Let me suggest 'Stadt der Engel' by Massendefekt. It's a track from their album 'Stadt der Engel'. The song combines rock, punk, and alternative rock genres with fast-paced guitar riffs and techno elements. This track can give your video a powerful and intense feel.",Stadt der Engel,Massendefekt,0,prompt_text_changed_only_precomputed_text_feature_unchanged
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,original,I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,"In that case, I'd recommend 'The Pretender' by Infected Mushroom. This track is a perfect fit for your needs, as it combines electronic, dance, and rock elements to create an energetic and dynamic sound. It's part of the album 'The Pretender' and is sure to get the energy up in your video.","In that case, 'The Pretender' by Infected Mushroom would be a perfect fit. This track is from their album 'Army of Mushrooms' and combines electronic, dance, electronica, and rock elements for an energetic and engaging listen. It's known for its techno, fast, electronic, loud, and dance characteristics, making it great for lifting the energy of any project.",The Pretender,Infected Mushroom would be a perfect fit,0,prompt_text_changed_only_precomputed_text_feature_unchanged
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.",I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,"In that case, 'The Pretender' by Infected Mushroom would be an excellent choice. It's an electronic track with a fast tempo and a catchy beat. The song has a bright and energetic vibe, perfect for creating a lively atmosphere in your video.","In that case, 'The Pretender' by Infected Mushroom would be a perfect fit. This track is from their album 'Army of Mushrooms' and combines electronic, dance, electronica, and rock elements for an energetic and engaging listen. It's known for its techno, fast, electronic, loud, and dance characteristics, making it great for lifting the energy of any project.",The Pretender,Infected Mushroom would be a perfect fit,0,prompt_text_changed_only_precomputed_text_feature_unchanged
215,yyaNJKJ6y6k,yyaNJKJ6y6k_0hMrj3zZxB8,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",I like the sound of that but was hoping for something with a bit more of an electronic and dance feel. Something that really gets the energy up.,"Allow me to recommend 'The Pretender' by Infected Mushroom. It's a track from their album 'The Pretender'. This song combines elements of electronic, rock, and indie genres with a touch of pop. It has a slow tempo and a soothing acoustic texture, which can create a calm and sentimental mood for your video.","In that case, 'The Pretender' by Infected Mushroom would be a perfect fit. This track is from their album 'Army of Mushrooms' and combines electronic, dance, electronica, and rock elements for an energetic and engaging listen. It's known for its techno, fast, electronic, loud, and dance characteristics, making it great for lifting the energy of any project.",The Pretender,Infected Mushroom would be a perfect fit,0,prompt_text_changed_only_precomputed_text_feature_unchanged
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,original,"That sounds great, but I want to incorporate elements of Juaninacka's style into the music as well. I'm looking for a track that combines hip-hop and electronic genres, with a chillout and rock vibe. Can you recommend something like that?","That sounds great, but I want to incorporate elements of Juaninacka's style into the music as well. I'm looking for a track that combines hip-hop and electronic genres, with a chillout and rock vibe. Can you recommend something like that?","Allow me to recommend 'Fe' by Juaninacka. It's a track from his album 'Fe'. It combines elements of hip-hop, electronic, and rock genres, with a chillout vibe. The song was released in 2012 and has a unique blend of genres that could be a fitting choice for your video.",Allow me to recommend 'Fe' by Juaninacka. It's a track from his album '41100 Rock'. This song blends hip-hop and electronic elements with a chillout and rock influence. It was released as an official music video and captures the essence of Juaninacka's unique style. The track was recorded as part of his discography and may have the specific elements you're looking for.,Fe,Juaninacka,0,prompt_text_changed_only_precomputed_text_feature_unchanged
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","That sounds great, but I want to incorporate elements of Juaninacka's style into the music as well. I'm looking for a track that combines hip-hop and electronic genres, with a chillout and rock vibe. Can you recommend something like that?","In that case, I would recommend 'Fe' by Juaninacka. This track combines elements of Hip-Hop, electronic, dance, pop, and rock genres. It has a fast-paced beat and a bright mood that will give your video a lively and energetic feel.",Allow me to recommend 'Fe' by Juaninacka. It's a track from his album '41100 Rock'. This song blends hip-hop and electronic elements with a chillout and rock influence. It was released as an official music video and captures the essence of Juaninacka's unique style. The track was recorded as part of his discography and may have the specific elements you're looking for.,Fe,Juaninacka,0,prompt_text_changed_only_precomputed_text_feature_unchanged
256,JOUczfMaLTE,JOUczfMaLTE_F91pQy19-j0,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","That sounds great, but I want to incorporate elements of Juaninacka's style into the music as well. I'm looking for a track that combines hip-hop and electronic genres, with a chillout and rock vibe. Can you recommend something like that?","Allow me to recommend 'Fe' by Juaninacka. It's a track from his album 'Fe'. The song combines elements of Hip-Hop, electronic, and rock with a touch of pop. It has a slow tempo and a soothing acoustic texture, creating a gentle and sentimental mood.",Allow me to recommend 'Fe' by Juaninacka. It's a track from his album '41100 Rock'. This song blends hip-hop and electronic elements with a chillout and rock influence. It was released as an official music video and captures the essence of Juaninacka's unique style. The track was recorded as part of his discography and may have the specific elements you're looking for.,Fe,Juaninacka,0,prompt_text_changed_only_precomputed_text_feature_unchanged
261,dLkm-Bpkgv4,dLkm-Bpkgv4_Hwl1Bf4gLvI,original,"Sounds interesting, but I'm looking for something with a heavier and more experimental sound. Do you have any recommendations?","Sounds interesting, but I'm looking for something with a heavier and more experimental sound. Do you have any recommendations?","In that case, I would recommend 'The Devil's Playground' by 36 Crazyfists. This track is from their album 'The Devil's Playground' and it falls under the genres of metal, rock, heavy metal, and experimental. It has a powerful and intense sound that will add a unique touch to your video.","Certainly! For a heavier and more experimental sound, I would recommend 'Also Am I' by 36 Crazyfists. This track is a blend of metal, rock, alternative, and experimental genres. It is part of the album 'Time And Trauma' and was released in 2014. The music video for this track was produced by Spinefarm Records, a Universal Music Company.",Also Am I,36 Crazyfists,0,prompt_text_changed_only_precomputed_text_feature_unchanged
261,dLkm-Bpkgv4,dLkm-Bpkgv4_Hwl1Bf4gLvI,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","Sounds interesting, but I'm looking for something with a heavier and more experimental sound. Do you have any recommendations?","Allow me to recommend 'Also Am I' by 36 Crazyfists. It's a track from their album 'Also Am I'. This song combines elements of rock, metal, and electronic genres, with a fast-paced and energetic sound. It has a clear rhythm and a modern dance or pop feel that could be a fitting choice for your video.","Certainly! For a heavier and more experimental sound, I would recommend 'Also Am I' by 36 Crazyfists. This track is a blend of metal, rock, alternative, and experimental genres. It is part of the album 'Time And Trauma' and was released in 2014. The music video for this track was produced by Spinefarm Records, a Universal Music Company.",Also Am I,36 Crazyfists,0,prompt_text_changed_only_precomputed_text_feature_unchanged
261,dLkm-Bpkgv4,dLkm-Bpkgv4_Hwl1Bf4gLvI,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","Sounds interesting, but I'm looking for something with a heavier and more experimental sound. Do you have any recommendations?","Allow me to recommend 'Also Am I' by 36 Crazyfists. It's a track from their album 'Also Am I'. This song combines elements of rock, metal, and alternative with a touch of electronic and indie influences. It has a slow tempo and a soothing acoustic sound that could be a fitting choice for your video.","Certainly! For a heavier and more experimental sound, I would recommend 'Also Am I' by 36 Crazyfists. This track is a blend of metal, rock, alternative, and experimental genres. It is part of the album 'Time And Trauma' and was released in 2014. The music video for this track was produced by Spinefarm Records, a Universal Music Company.",Also Am I,36 Crazyfists,0,prompt_text_changed_only_precomputed_text_feature_unchanged
307,DL3dhkazIc8,DL3dhkazIc8_tQjxTUSkOqs,original,That sounds great! I'm also interested in incorporating some elements of Redhooknoodles' hip-hop style with electronic and jazz influences. Do you have any recommendations?,That sounds great! I'm also interested in incorporating some elements of Redhooknoodles' hip-hop style with electronic and jazz influences. Do you have any recommendations?,I recommend 'Sick Perfect Banger' by Redhooknoodles. It's a hip-hop track with electronic and jazz elements. The song has a fast-paced beat and features male vocals. It was released in 2014 and could add a unique touch to your video.,"Certainly! I suggest you consider using 'Sick Perfect Banger hip-hop beat {rap} Instrumental' by Redhooknoodles. Although I couldn't find the specific track name, Redhooknoodles is known for producing hip-hop beats with electronic, pop, and jazz elements. This instrumental track can provide a unique and dynamic background for your video.",Sick Perfect Banger hip-hop beat {rap} Instrumental,Redhooknoodles,0,prompt_text_changed_only_precomputed_text_feature_unchanged
307,DL3dhkazIc8,DL3dhkazIc8_tQjxTUSkOqs,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.",That sounds great! I'm also interested in incorporating some elements of Redhooknoodles' hip-hop style with electronic and jazz influences. Do you have any recommendations?,"In that case, I recommend 'Sick Perfect Banger' by Redhooknoodles. This track combines elements of Hip-Hop, electronic, pop, and dance genres. It has a fast-paced beat and a modern sound that will give your video a vibrant and energetic feel.","Certainly! I suggest you consider using 'Sick Perfect Banger hip-hop beat {rap} Instrumental' by Redhooknoodles. Although I couldn't find the specific track name, Redhooknoodles is known for producing hip-hop beats with electronic, pop, and jazz elements. This instrumental track can provide a unique and dynamic background for your video.",Sick Perfect Banger hip-hop beat {rap} Instrumental,Redhooknoodles,0,prompt_text_changed_only_precomputed_text_feature_unchanged
307,DL3dhkazIc8,DL3dhkazIc8_tQjxTUSkOqs,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.",That sounds great! I'm also interested in incorporating some elements of Redhooknoodles' hip-hop style with electronic and jazz influences. Do you have any recommendations?,"Allow me to recommend 'Sick Perfect Banger' by Redhooknoodles. It's a hip-hop track with electronic and rock influences. The song has a slow tempo and features lyrical piano, which aligns well with your preferences. The acoustic elements and the calm and sentimental mood of the music make it a fitting choice for your video.","Certainly! I suggest you consider using 'Sick Perfect Banger hip-hop beat {rap} Instrumental' by Redhooknoodles. Although I couldn't find the specific track name, Redhooknoodles is known for producing hip-hop beats with electronic, pop, and jazz elements. This instrumental track can provide a unique and dynamic background for your video.",Sick Perfect Banger hip-hop beat {rap} Instrumental,Redhooknoodles,0,prompt_text_changed_only_precomputed_text_feature_unchanged
310,9wVRNILwL4I,9wVRNILwL4I_yp0PNekX4vI,original,"Sounds interesting, but I'm looking for something with a mix of Hip-Hop, electronic, and pop with a fast beat.","Sounds interesting, but I'm looking for something with a mix of Hip-Hop, electronic, and pop with a fast beat.","In that case, I would recommend 'Unchained Melody-917' by SINIMA BEATS. This track combines elements of Hip-Hop, electronic, and pop genres, and it has a fast beat that will add energy to your video. It's part of the album 'Unchained Melody-917' by SINIMA BEATS.","In that case, I would recommend 'Unchained Melody-917' by SINIMA BEATS. This track combines the elements of Hip-Hop, electronic, and pop genres with a fast beat. It has a catchy and energetic sound that would be perfect for your video.",Unchained Melody-917,SINIMA BEATS,0,prompt_text_changed_only_precomputed_text_feature_unchanged
310,9wVRNILwL4I,9wVRNILwL4I_yp0PNekX4vI,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","Sounds interesting, but I'm looking for something with a mix of Hip-Hop, electronic, and pop with a fast beat.","In that case, I recommend 'Unchained Melody-917' by SINIMA BEATS. This track combines elements of Hip-Hop, electronic, pop, and dance genres. It has a fast-paced beat and a bright mood that will give your video a lively and energetic feel.","In that case, I would recommend 'Unchained Melody-917' by SINIMA BEATS. This track combines the elements of Hip-Hop, electronic, and pop genres with a fast beat. It has a catchy and energetic sound that would be perfect for your video.",Unchained Melody-917,SINIMA BEATS,0,prompt_text_changed_only_precomputed_text_feature_unchanged
310,9wVRNILwL4I,9wVRNILwL4I_yp0PNekX4vI,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","Sounds interesting, but I'm looking for something with a mix of Hip-Hop, electronic, and pop with a fast beat.","Allow me to recommend 'Unchained Melody-917' by SINIMA BEATS. It's a track with lyrical piano background music that aligns well with your preferences. The song has a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood. It's a perfect choice for your video.","In that case, I would recommend 'Unchained Melody-917' by SINIMA BEATS. This track combines the elements of Hip-Hop, electronic, and pop genres with a fast beat. It has a catchy and energetic sound that would be perfect for your video.",Unchained Melody-917,SINIMA BEATS,0,prompt_text_changed_only_precomputed_text_feature_unchanged
313,z7Dy7s5tg2o,z7Dy7s5tg2o_ziYVQWdqAEM,original,"That sounds great, but I'm also interested in incorporating elements of pop and house music into the playlist. Can you suggest a track that combines these genres?","That sounds great, but I'm also interested in incorporating elements of pop and house music into the playlist. Can you suggest a track that combines these genres?","Certainly! How about 'Sunshine' by Danny Avila? It's a track from his album 'Sunshine'. This song combines elements of dance, electronic, pop, and house music. It has a catchy beat and a vibrant energy that could be a fitting choice for your video.","Certainly! How about 'TechnoColour Dreams Invades Mansion NightClub May 19th 2013'? Although I don't have much information about this track, it's tagged as electronic, dance, electro, pop, and house, which suggests it could be a fitting choice for your event. It might have the pop and house elements you're looking for.",,,0,prompt_text_changed_only_precomputed_text_feature_unchanged
313,z7Dy7s5tg2o,z7Dy7s5tg2o_ziYVQWdqAEM,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","That sounds great, but I'm also interested in incorporating elements of pop and house music into the playlist. Can you suggest a track that combines these genres?","In that case, I recommend 'Sun Goes Down' by David Guetta. This track is a perfect fit for your video as it falls under the genres of dance, electronic, house, pop, and electro. It has a fast tempo and a catchy beat that will create an energetic and modern atmosphere for your video.","Certainly! How about 'TechnoColour Dreams Invades Mansion NightClub May 19th 2013'? Although I don't have much information about this track, it's tagged as electronic, dance, electro, pop, and house, which suggests it could be a fitting choice for your event. It might have the pop and house elements you're looking for.",,,0,prompt_text_changed_only_precomputed_text_feature_unchanged
313,z7Dy7s5tg2o,z7Dy7s5tg2o_ziYVQWdqAEM,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","That sounds great, but I'm also interested in incorporating elements of pop and house music into the playlist. Can you suggest a track that combines these genres?","I suggest checking out the track 'Love Is Alive' by David Guetta. It's a dance and electronic song with elements of pop and house. The track has a fast tempo and a loud sound, which aligns well with the energetic vibe you're looking for.","Certainly! How about 'TechnoColour Dreams Invades Mansion NightClub May 19th 2013'? Although I don't have much information about this track, it's tagged as electronic, dance, electro, pop, and house, which suggests it could be a fitting choice for your event. It might have the pop and house elements you're looking for.",,,0,prompt_text_changed_only_precomputed_text_feature_unchanged
323,7KnEzXBwovQ,7KnEzXBwovQ_VdzigTcir9U,original,"That sounds great! I also want to incorporate some Korean music into my video. Can you recommend a track from the Korean music scene that combines elements of hip-hop, pop, and electronic?","That sounds great! I also want to incorporate some Korean music into my video. Can you recommend a track from the Korean music scene that combines elements of hip-hop, pop, and electronic?","Certainly! I recommend '너 때문에' by 2PM. It's a track from their album 'HOTTEST EVERYWHERE'. This song combines elements of hip-hop, pop, and electronic music, which aligns well with the Korean music scene. It has a catchy beat and features male vocals, which adds a unique touch to the track.","Allow me to recommend a video titled '盘点韩国歌坛5大舞王' from Tudou最音乐. It showcases the dance skills of Super Junior's member Yoon Hee, Shinhwa's member Lee Min-woo, TVXQ's Yunho, Rain, and Jang Yoon-ha. Although no specific track name or artist is mentioned, it suggests the Korean music scene's diversity in genres such as hip-hop, pop, electronic, and even rock. This video might be a great fit for your video project.",,,0,prompt_text_changed_only_precomputed_text_feature_unchanged
323,7KnEzXBwovQ,7KnEzXBwovQ_VdzigTcir9U,cf_upbeat_electronic,"I prefer upbeat electronic background music with a bright mood, clear rhythm, energetic beats, and a modern dance or pop feeling.","That sounds great! I also want to incorporate some Korean music into my video. Can you recommend a track from the Korean music scene that combines elements of hip-hop, pop, and electronic?","In that case, I recommend '너 때문에' by 2PM. This track combines elements of pop, dance, electronic, and rock genres. It has a fast-paced beat and a catchy melody that will create an energetic and modern vibe for your video.","Allow me to recommend a video titled '盘点韩国歌坛5大舞王' from Tudou最音乐. It showcases the dance skills of Super Junior's member Yoon Hee, Shinhwa's member Lee Min-woo, TVXQ's Yunho, Rain, and Jang Yoon-ha. Although no specific track name or artist is mentioned, it suggests the Korean music scene's diversity in genres such as hip-hop, pop, electronic, and even rock. This video might be a great fit for your video project.",,,0,prompt_text_changed_only_precomputed_text_feature_unchanged
323,7KnEzXBwovQ,7KnEzXBwovQ_VdzigTcir9U,cf_lyrical_piano,"I prefer lyrical piano background music with a slow tempo, soft acoustic texture, gentle melody, and a calm sentimental mood.","That sounds great! I also want to incorporate some Korean music into my video. Can you recommend a track from the Korean music scene that combines elements of hip-hop, pop, and electronic?","In that case, I recommend 'Love Is' by 2PM. This track has a pop and electronic sound with elements of rock and indie. It features a male vocalist and has a slow tempo, which creates a soothing and emotional atmosphere. The lyrics are written by 2PM and the music video was directed by 2PM.","Allow me to recommend a video titled '盘点韩国歌坛5大舞王' from Tudou最音乐. It showcases the dance skills of Super Junior's member Yoon Hee, Shinhwa's member Lee Min-woo, TVXQ's Yunho, Rain, and Jang Yoon-ha. Although no specific track name or artist is mentioned, it suggests the Korean music scene's diversity in genres such as hip-hop, pop, electronic, and even rock. This video might be a great fit for your video project.",,,0,prompt_text_changed_only_precomputed_text_feature_unchanged
326,Nun6L-ahGL8,Nun6L-ahGL8_nbchhRSriRg,original,"That sounds great, but I would like to incorporate a bit more of Kokane's distinctive style, especially his R&B and pop components. I'm also interested in rock elements.","That sounds great, but I would like to incorporate a bit more of Kokane's distinctive style, especially his R&B and pop components. I'm also interested in rock elements.","Allow me to recommend 'My World' by Kokane. It's a track from his album 'My World'. It combines elements of R&B, pop, and rock with electronic beats that could be a fitting choice for your video. It was released in 2010 and has a techno and electronic sound too.","Allow me to recommend 'My World' by Kokane. It's a track from the album 'Lady Kokane Presents: Kokane Love Songs'. It combines elements of hip-hop, electronic, R&B, pop, and rock, which could be a fitting choice for your video. The song has a mix of electronic beats, synth sounds, and drums that add to the overall sound.",My World,Kokane,0,prompt_text_changed_only_precomputed_text_feature_unchanged
