k,cluster,sample_idx,video_id,youtube_url,title,artist,duration_sec,view_count,cluster_name,note
3,0,2864,pyG5VJvPtjk,https://www.youtube.com/watch?v=pyG5VJvPtjk,CLAN HUESO DURO - AROMA DE MI CIUDAD,CLAN HUESO DURO,288,368801,,
3,0,2163,Md8ErAoLpZk,https://www.youtube.com/watch?v=Md8ErAoLpZk,"Masspike Miles ft Gunplay "" I Will Conquer""",MASSPIKE MILES,224,29253,,
3,0,539,j9znA8_UMbw,https://www.youtube.com/watch?v=j9znA8_UMbw,Mariov22 - Desde la sombra  [Graphic Arts],038Records,157,6296,,
3,0,3022,ZQzOA_YU5zc,https://www.youtube.com/watch?v=ZQzOA_YU5zc,Black C - Stay With Me,Black C,246,18757,,
3,0,811,m8MUgVOg63w,https://www.youtube.com/watch?v=m8MUgVOg63w,G Maly | Jeremy Lin,G Maly,186,4324,,
3,0,2461,CKA0kgsScb8,https://www.youtube.com/watch?v=CKA0kgsScb8,Murs-The Break Up,CashmereAgency,334,1899083,,
3,0,3361,qrC7Gz_nOmE,https://www.youtube.com/watch?v=qrC7Gz_nOmE,Juss Ron - The World Goes Round,Juss Ron,165,1494,,
3,0,331,6TEo-6L1nVw,https://www.youtube.com/watch?v=6TEo-6L1nVw,RAY & ANITA - Nothing 2 Lose (Official Video),Rayandanita,219,327367,,
3,0,3125,2QyyCg8GYQE,https://www.youtube.com/watch?v=2QyyCg8GYQE,H.E Ambassada X Mbuvi  - NANGOJEA (Official HD Video),Ambassada The Great ,190,2476,,
3,0,468,-7E7dmV2W_s,https://www.youtube.com/watch?v=-7E7dmV2W_s,Swiet Sranang,JudgementYardman Jah-LeviTv,200,12654,,
3,0,922,zuma934EXdk,https://www.youtube.com/watch?v=zuma934EXdk,Kita Kini Satu - [Richado Official Music Video],richado tawith,281,3891,,
3,0,1095,fUZwM7kuwyg,https://www.youtube.com/watch?v=fUZwM7kuwyg,Charlton - Act Like (Official Music Video) [DELAHAYETV],DeLaHayeTV,212,6220,,
3,0,363,pGK_sukBKh4,https://www.youtube.com/watch?v=pGK_sukBKh4,"CLIP 1-2 1-2 TEST - Nosta Feat Sofian, Sonia et pin's [HD]",REC Création,266,158664,,
3,0,978,XI_49TbkJI0,https://www.youtube.com/watch?v=XI_49TbkJI0,SMA - Dziś (prod. TrzyBit),PreorderTV,199,12399,,
3,0,1011,fhRELmDRM8c,https://www.youtube.com/watch?v=fhRELmDRM8c,#TOXICTV - Blickstah ft Ls & A1 - Mean World [ NET VIDEO ] @TVTOXIC,Tox UK,183,12149,,
3,0,1192,TLJza8tBrlw,https://www.youtube.com/watch?v=TLJza8tBrlw,F1RSTMAN FT RAFFI - ALLES WAT IK WIL ( OFFICIAL VIDEO ),At F1rst Music,251,63462,,
3,0,605,nhxrFPjD5cw,https://www.youtube.com/watch?v=nhxrFPjD5cw,H2L SOCIETY - VRAI,H2Lsociety,226,3593,,
3,0,2296,_1ymtS1_cd0,https://www.youtube.com/watch?v=_1ymtS1_cd0,"Edgar Winston -- ""Blanka"" -- Directed by Jae Synth (Official Music Video)",Jae Synth,220,1919,,
3,0,3604,deCKe46octs,https://www.youtube.com/watch?v=deCKe46octs,Mc Cruzito Ft. Cheito - Márchate (Videoclip Official HD ),Mc Cruzo tv Oficial,345,113312,,
3,0,398,8PHqiJ76Q5s,https://www.youtube.com/watch?v=8PHqiJ76Q5s,BOMB Squad - B.O.M.B [High Quality],Hi8usSouth,200,7754,,
3,0,1012,EIy9nHdYe8U,https://www.youtube.com/watch?v=EIy9nHdYe8U,CLOSE TO YOU - MO HITS ALL STARS[CLEAR VIDEO],dejiariyo,221,83447,,
3,0,1736,-Ki0eVsDv2E,https://www.youtube.com/watch?v=-Ki0eVsDv2E,City Sliccaz    I gotta feelin,CitySliccaz1000,270,9832,,
3,0,4036,Sm4K5QQeecI,https://www.youtube.com/watch?v=Sm4K5QQeecI,"Young, Rich and Out of Control - Emmure",Bryan Swain,142,2118,,
3,0,968,9-8I91yXXAc,https://www.youtube.com/watch?v=9-8I91yXXAc,"Volts Face Ft. Hayce Lemsi, Still Fresh, S.Pri Noir - Qui suis-je (Clip Officiel)",Volts FaceTV,314,2561506,,
3,0,1315,RFTrvbY8Bt8,https://www.youtube.com/watch?v=RFTrvbY8Bt8,Medine-  Exclu Clip Code Barbe,ZOUKERO,239,327571,,
3,0,2604,91b8KJmIdl8,https://www.youtube.com/watch?v=91b8KJmIdl8,Amahoro Ye - Kaddy Simba & David,Kaddy Simba,286,3336,,
3,0,322,acVSNozfuOg,https://www.youtube.com/watch?v=acVSNozfuOg,GUARDIAN ANGEL Kenya  - MURATA (Relationship riddim),TruthVision T.V,224,15808,,
3,0,119,GiB-vZURdcQ,https://www.youtube.com/watch?v=GiB-vZURdcQ,"D.Bledsoe - ""Song for Ali"" (Official Video)",D Bledsoe,178,12066,,
3,0,3567,C8qZ-9vcAR4,https://www.youtube.com/watch?v=C8qZ-9vcAR4,TARO KING - FROM THE PACIFIC WE RISE (Official Music Video),Vela Manusaute,285,19487,,
3,1,2275,gD-rffbriWI,https://www.youtube.com/watch?v=gD-rffbriWI,Defeater - Bastards,Defeater,174,644806,,
3,1,4123,hjSKLM7xcqk,https://www.youtube.com/watch?v=hjSKLM7xcqk,Trash the Dress Douglas & Bruna.mpg,LineProducoes,476,120378,,
3,1,2868,BFDJUaUmhHQ,https://www.youtube.com/watch?v=BFDJUaUmhHQ,"Shaun & Javvy ""Same Day Edit""",SavvyAng,200,1893,,
3,1,462,d4L4l62bWZU,https://www.youtube.com/watch?v=d4L4l62bWZU,"Megan Lewis, Tristan Tyrcha-Pure Awakening (Official)",Megan Lewis,252,87646,,
3,1,293,jv2e8BXi9XU,https://www.youtube.com/watch?v=jv2e8BXi9XU,"FacinGoliath - ""Painted Creation"" feat. Leevi Luoto (Lyric Video)",FacinGoliath,208,8650,,
3,1,2331,gAk7UzWgh9A,https://www.youtube.com/watch?v=gAk7UzWgh9A,Cruzada Cristiana 2013 hd,Cruzada Cristiana,388,3629,,
3,1,2420,xN-tvjnA3rA,https://www.youtube.com/watch?v=xN-tvjnA3rA,bladee - reborn,drain gang,135,2270463,,
3,1,2668,HnvoxICuxJk,https://www.youtube.com/watch?v=HnvoxICuxJk,Pink - Runaway (home made music video),Lharaldsson,265,42456,,
3,1,393,6pT-J4GSyB8,https://www.youtube.com/watch?v=6pT-J4GSyB8,GOVINDA BAND,adiasaica,221,1563,,
3,1,510,FrXVrMcuoQ4,https://www.youtube.com/watch?v=FrXVrMcuoQ4,Türkiyenin 1 Numaralı halayı,ahmet marmara,218,2848,,
3,1,3281,L3K-TfO_JSM,https://www.youtube.com/watch?v=L3K-TfO_JSM,ファンタスマゴリック／生まれてくれてありがとう/わたしと折鶴 -わたし負けない-/カップリング hug,東宝芸能,202,6978,,
3,1,340,AeyO2D2_Qsw,https://www.youtube.com/watch?v=AeyO2D2_Qsw,Destino Perfecto - Ring ding dong Video Clip Shinee Cover,Destino Perfecto,186,2489,,
3,1,972,L3RMEPowr2E,https://www.youtube.com/watch?v=L3RMEPowr2E,La Florke & Have a Cow - Exterminate (Videoclip),barcasamanolo,319,8042,,
3,1,40,ldHV3ewjZxQ,https://www.youtube.com/watch?v=ldHV3ewjZxQ,The Undertaker vs Bray Wyatt Wrestlemania 31 Promo,PhenomIcon :3,336,20939,,
3,1,1837,4sVLtq3eqA0,https://www.youtube.com/watch?v=4sVLtq3eqA0,Neonschwarz - Love Will Never Die,Audiolith,179,786483,,
3,1,3823,z_dVQoegRkU,https://www.youtube.com/watch?v=z_dVQoegRkU,Rhaissa Bittar - O Guarda Chuva (Lyric Video) ft. SpokFrevo Orquestra,Panela,230,5107,,
3,1,3887,TbJhPLhIicA,https://www.youtube.com/watch?v=TbJhPLhIicA,pose - daddy yankee (video original),slocnmgo,218,1514,,
3,1,4161,OZgTkXPsg0U,https://www.youtube.com/watch?v=OZgTkXPsg0U,Lilian Dobanda - Instrainati | Official Music Video,Lilian Dobândă,283,34165,,
3,1,3770,KU0uVYyV5G0,https://www.youtube.com/watch?v=KU0uVYyV5G0,Eira Syazira - Tersedar Aku (Official Music Video),AA Studios | Make It Brothers Studio,333,117500,,
3,1,2746,JkIC5T61F1g,https://www.youtube.com/watch?v=JkIC5T61F1g,PATRICIA RIBEIRO  - ZUMBA SEM FIM - VIDEOCLIP OFICIAL,Patricia Ribeiro,222,15950,,
3,1,3792,DzHBVihUjNQ,https://www.youtube.com/watch?v=DzHBVihUjNQ,Emmas chatroom - Individual [Music Video],faceci66,193,512276,,
3,1,1940,JbiEXKFLdzI,https://www.youtube.com/watch?v=JbiEXKFLdzI,Jovanotti - La Notte Dei Desideri (Mario Romano Bootleg),Mario,318,8249,,
3,1,3354,_snWPrb5uso,https://www.youtube.com/watch?v=_snWPrb5uso,"Ślub - Plener-2013 - Kępno, Ostrzeszów, Syców, Wieruszów",Tvistudiopl,242,2483,,
3,1,791,6QFeVLjIeMk,https://www.youtube.com/watch?v=6QFeVLjIeMk,Hello Seahorse! No Es Que No Te Quiera - Fan Made Music Video,Abraham Bianey,247,1506,,
3,1,1023,skfqkvuAjv4,https://www.youtube.com/watch?v=skfqkvuAjv4,Happysad - Zanim pójdę,Bonus RPK,256,77587,,
3,1,3389,kQsm8rOr-JQ,https://www.youtube.com/watch?v=kQsm8rOr-JQ,Human Nature,VersestheOctopus,121,1538,,
3,1,4204,znvhCmOCxyk,https://www.youtube.com/watch?v=znvhCmOCxyk,Дети ПодЪземелья-Среди серых стен[2012][podzemka prod],Леша Шпилька,165,2642,,
3,1,812,L-vr1pji-0I,https://www.youtube.com/watch?v=L-vr1pji-0I,Youn Sun Nah Dancing with you,saggitabg,290,2188,,
3,1,97,lMlz26OJbsc,https://www.youtube.com/watch?v=lMlz26OJbsc,Pre-wedding khmer Rith & Hou Love Forever,Madonith,317,7157,,
3,1,2187,u53lBdMVsjA,https://www.youtube.com/watch?v=u53lBdMVsjA,"Go Chic - New Album ""We Ain't Home"" Teaser",GoChic,292,31533,,
3,1,2851,Jh-v-5TmRnI,https://www.youtube.com/watch?v=Jh-v-5TmRnI,Illusionist-My Inhibitor (Official Lyric Video),Illusionist Band,276,4953,,
3,1,3609,pNhFBT3yFTk,https://www.youtube.com/watch?v=pNhFBT3yFTk,Hoyaa feat. Arpy - Killer [Remake],Hoyaa,214,1567,,
3,1,1340,jG1G6Dd2He4,https://www.youtube.com/watch?v=jG1G6Dd2He4,‬MR.MR ‎미스터미스터‬ eyecontact ‎Out‬ ‎안무영상 ChoreographyPractice,E&F이호,214,16161,,
3,1,2812,Y6OtapM7-jk,https://www.youtube.com/watch?v=Y6OtapM7-jk,Ricky Martin - I Won't Desert You (Music Video),El Rey Del Pop Latino Ricky Martin,232,8385,,
3,1,3919,ssw7e465RZw,https://www.youtube.com/watch?v=ssw7e465RZw,Videoclip Iulian si Oana - nunta anului in Constanta - 4 sept. 2010,bossmania1981,233,2481,,
3,1,2120,HPvpjuVIijc,https://www.youtube.com/watch?v=HPvpjuVIijc,Apl.de.ap - We Can Be Anything | Official Music Video + Lyrics,MisterBEP,247,99245,,
3,1,1573,NqA6BsoXhSs,https://www.youtube.com/watch?v=NqA6BsoXhSs,MC Melodee x Cookin Soul - Gotta get away,Cookin Soul,190,89440,,
3,1,3908,4OWNQiJH0Ms,https://www.youtube.com/watch?v=4OWNQiJH0Ms,F-ve Dolls - Soulmate #1 MV [Sub Español + Hangul + Romanización],SPMarii Subs,302,11636,,
3,1,1180,Ro9eY40poTg,https://www.youtube.com/watch?v=Ro9eY40poTg,,,,,,
3,1,3541,IHBt3-FU9AI,https://www.youtube.com/watch?v=IHBt3-FU9AI,Giannoulis & Eirini : Wedding Video Clip @ Mykonos - Greece by darva photography.f4v,darva photography,218,4613,,
3,2,3467,Vms5MmVD_G8,https://www.youtube.com/watch?v=Vms5MmVD_G8,"Clement Bats - Rancid ""Fall Back Down"" SJCRANCID",StreetPoisonPunx,223,2541,,
3,2,1112,Our5W14KxT0,https://www.youtube.com/watch?v=Our5W14KxT0,ETERNAL REIGN - THE BEAST WITHIN (Official Music Video),Cold Entertainment,299,7969,,
3,2,3462,k5FWucDDDVw,https://www.youtube.com/watch?v=k5FWucDDDVw,The Messis - Bez przebaczenia,The Messis,323,5218,,
3,2,1504,20Z6WWCouus,https://www.youtube.com/watch?v=20Z6WWCouus,En sala - Que bien que te queda - Corrías,Niño Raro,218,4918,,
3,2,629,eGotRpT9cqI,https://www.youtube.com/watch?v=eGotRpT9cqI,"Go On - Late September Dogs from FOX TV's ""Jackson Horn""",nadnasiet,220,5219,,
3,2,2078,60NXEs1pYJ0,https://www.youtube.com/watch?v=60NXEs1pYJ0,Team.Radio - Stormy Melodies (Clipe Oficial),Team.Radio Banda,399,13458,,
3,2,3166,HHF3CcN-ga4,https://www.youtube.com/watch?v=HHF3CcN-ga4,Zebrahead - Get Back,Zebrahead,210,814746,,
3,2,3753,t0_gVHrlzgI,https://www.youtube.com/watch?v=t0_gVHrlzgI,Balthazar | Then What | Deezer Session,Deezer France,281,3673,,
3,2,1150,H7R8OWnMjfs,https://www.youtube.com/watch?v=H7R8OWnMjfs,In Fear And Faith - The Road to Hell is Paved with Good Intentions (Official Video) Ft.Craig Owens,riserecords,212,1974680,,
3,2,2236,7FB9wWh36MA,https://www.youtube.com/watch?v=7FB9wWh36MA,Maleo Reggae Rockers - Moc  (Official Video),TheReggaeSunny,235,10464,,
3,2,749,-8XLG-7Z4l4,https://www.youtube.com/watch?v=-8XLG-7Z4l4,"SUBDIVISION - NIL - OFFICIAL MUSIC VIDEO (EP ""DAY ZERO 2013)",Subdivisionband,291,3535,,
3,2,850,A_x4eZ9HA2s,https://www.youtube.com/watch?v=A_x4eZ9HA2s,She's A Bad Girl Original Song Kathleen Farless DEMO MUSIC VIDEO,Official-KathleenFarless-Channel,300,5327,,
3,2,632,kxDkq6rubqo,https://www.youtube.com/watch?v=kxDkq6rubqo,Intergalactic Lovers - Fade Away,Leslie Verbeeck,181,282806,,
3,2,3970,dzbWEb5EiyU,https://www.youtube.com/watch?v=dzbWEb5EiyU,Aragona band - Ajo,PINKMOON,182,16575,,
3,2,1754,C6gxqdrUfj8,https://www.youtube.com/watch?v=C6gxqdrUfj8,Jake and the Cowboys - 'Brotherman' Film Clip HD,JakeandtheCowboys,271,2420,,
3,2,2982,SFVFLUjgpmo,https://www.youtube.com/watch?v=SFVFLUjgpmo,"Marcus Madman - Unclean, Music Video",Tommy Kristian Gabrielsen,319,2669,,
3,2,1684,S4cfd3vYA70,https://www.youtube.com/watch?v=S4cfd3vYA70,MORGOTH - Isolated (OFFICIAL LIVE VIDEO),Century Media Records,314,139720,,
3,2,769,RHHR4CwSTOY,https://www.youtube.com/watch?v=RHHR4CwSTOY,INORDEM - Yo no quiero tu paz,Inordem,285,11471,,
3,2,2820,AqQbZcKQCnE,https://www.youtube.com/watch?v=AqQbZcKQCnE,Against The Current - Talk (Official Music Video),Against The Current,194,15735708,,
3,2,2876,kMxn4GftRlI,https://www.youtube.com/watch?v=kMxn4GftRlI,GOOD LIFE - OneRepublic | AKOUF'N Cover,AKOUF'N,168,5497,,
3,2,3634,PpDdemNFTTM,https://www.youtube.com/watch?v=PpDdemNFTTM,Céu de nós dois ( Laboratório Du Rock ),Eduardo Wagner,283,2181,,
3,2,51,oDpiCTAJQac,https://www.youtube.com/watch?v=oDpiCTAJQac,Kako M. - 08 -Y yo me río (La rumbita hip hop) (Prod. R.Sosa) #AHTA,Kako Moré,283,34911,,
3,2,3257,V3P0Vn1GNoA,https://www.youtube.com/watch?v=V3P0Vn1GNoA,AM Band - Who Is Our Master (Official Music Video),AM Band,212,11477,,
3,2,3857,pRoGCr_PFCE,https://www.youtube.com/watch?v=pRoGCr_PFCE,"Il Muro del Canto ""Il Canto degli affamati"" video ufficiale",solobuiovisualfactor,271,681037,,
3,2,4190,8-vlcFrTWJg,https://www.youtube.com/watch?v=8-vlcFrTWJg,Shedding Tears,jlaws80,240,1870,,
3,2,3695,JafBMfCbnBI,https://www.youtube.com/watch?v=JafBMfCbnBI,Algora - Muerdealmohadas (vídeo oficial),El Genio Equivocado,234,74001,,
3,2,3849,C0OznGZgb3Q,https://www.youtube.com/watch?v=C0OznGZgb3Q,Neva - Ku Tunggu Dirimu (Official Music Video NAGASWARA) #music,NAGASWARA Official Video Indonesian Music Channel,254,25954,,
3,2,2106,Jh_X8ZLReCA,https://www.youtube.com/watch?v=Jh_X8ZLReCA,The Canal - Lemons (Official Music Video)(HD),WalkTheCanal,248,17183,,
3,2,1222,LM4BztqS2Uw,https://www.youtube.com/watch?v=LM4BztqS2Uw,Driver Friendly - I Can See Canyons (Official Music Video),Hopeless Records,174,13624,,
3,2,1980,FllRntbfSZU,https://www.youtube.com/watch?v=FllRntbfSZU,"Sarah Lou Richards ""Wishing Well""",Matthew Crum,299,4563,,
3,2,585,1mKOpk7usng,https://www.youtube.com/watch?v=1mKOpk7usng,The Risk Band SOTTO SOPRA videoclip Regia Simone Spano,GrisVideo,290,3608,,
3,2,1659,Cx01fOYsc6E,https://www.youtube.com/watch?v=Cx01fOYsc6E,BEHEMOTH - Ora Pro Nobis Lucifer (Official Music Video),Behemoth,393,10927469,,
3,2,580,YclmCZxHj9Y,https://www.youtube.com/watch?v=YclmCZxHj9Y,Linkin Park - Blackout/Madison (Official HD Music Video),zwieR.Z.,167,285446,,
3,2,1670,dIwqCfWRh4E,https://www.youtube.com/watch?v=dIwqCfWRh4E,The Erkonauts - Dominium Mundi,The Erkonauts,363,18866,,
3,2,264,yu729ptnt2A,https://www.youtube.com/watch?v=yu729ptnt2A,BACK IN BLACK INFORMATION_CHAPTER_21,BACK IN BLACK_information,237,2947,,
3,2,3094,w_TlhlzrpTs,https://www.youtube.com/watch?v=w_TlhlzrpTs,G-YUN「Message」,LD&K music,199,71355,,
3,2,2935,3nXCYSDR-dk,https://www.youtube.com/watch?v=3nXCYSDR-dk,Stiftelsen - Vart jag än går,SweKexServer,252,25949,,
3,2,1383,nHHBfrtHa-M,https://www.youtube.com/watch?v=nHHBfrtHa-M,►►Sightwinder - Then You Look At Me - Official Video (7jazz/7us),7us media group,209,2659,,
3,2,3103,D43j2xYgffs,https://www.youtube.com/watch?v=D43j2xYgffs,the Grenma - Enyem az utolso szo,thegrenma,163,207560,,
3,2,4201,PcsVpQruwR4,https://www.youtube.com/watch?v=PcsVpQruwR4,Oso Mugroso - Una Chica En vivo @ La Lista Negra Studios,La Lista Negra,200,1858,,
4,0,2378,2WzHhtkF8JM,https://www.youtube.com/watch?v=2WzHhtkF8JM,[HD] 5Dolls - Like This Like That MV,KT .S,217,2770867,,
4,0,602,0pyxKqdtrH8,https://www.youtube.com/watch?v=0pyxKqdtrH8,Paula Abdul - Forever Your Girl,Paula Abdul,271,8704459,,
4,0,2441,LxP2DV-IV6E,https://www.youtube.com/watch?v=LxP2DV-IV6E,"LION BABE - VVVision - LION BABE (+ Lauryn Hill, Erykah Badu) ft. Lauryn Hill, Erykah Badu",Vevo UK,239,76312,,
4,0,1077,ufCyRJQwEss,https://www.youtube.com/watch?v=ufCyRJQwEss,,,,,,
4,0,1719,d_OLl_qR6y4,https://www.youtube.com/watch?v=d_OLl_qR6y4,Zion I & The Grouch - Rockit Man (Official Music Video),The Grouch,251,209338,,
4,0,3115,8l--r7YnQq0,https://www.youtube.com/watch?v=8l--r7YnQq0,Sinner - The Switch Control Tour (Official Trailer),originalsinnermusic,135,5038,,
4,0,3100,ctV_gOIUicI,https://www.youtube.com/watch?v=ctV_gOIUicI,[Freeky]Henry - Trap (with Kyuhyun & Taemin) [繁體中字],GyaWoo,258,1194,,
4,0,1046,mlF0sGVMDYA,https://www.youtube.com/watch?v=mlF0sGVMDYA,Damon Salvatore - Call me when you're sober,MiissScofiield,212,1842,,
4,0,3636,O30F9cxtlVM,https://www.youtube.com/watch?v=O30F9cxtlVM,Oveja Negra  Le Gusta El Dancehall  Rmx   VDJ Bacu,DjBacu Bacu,232,10262,,
4,0,3988,mdUH3vsi05I,https://www.youtube.com/watch?v=mdUH3vsi05I,Onurr - Artist,Onurr aka Onur Özdemir,228,1206319,,
4,0,1847,gFWP-4P3XbY,https://www.youtube.com/watch?v=gFWP-4P3XbY,LU:KUS - So Into U (hun sub) [Ashiyo FanSub],AshiyoFanSub3,215,1798,,
4,0,2171,dKUIkthdXBQ,https://www.youtube.com/watch?v=dKUIkthdXBQ,Not The Same Girl,SCLUB8WORLD,214,13183,,
4,0,403,7Ob0KtA0xnQ,https://www.youtube.com/watch?v=7Ob0KtA0xnQ,Mass Effect 2 Music Video - Stars in the Desert,Travence Blake,294,3632,,
4,0,3048,LAzK2fmfNoU,https://www.youtube.com/watch?v=LAzK2fmfNoU,Richard Durand - Official Music Video No Way Home,Richard Durand,221,10117,,
4,0,1369,djy2cHxN9is,https://www.youtube.com/watch?v=djy2cHxN9is,誓言-雨落故里(官方完整版MV),豪記唱片 HCM Music,286,21385,,
4,0,419,p8IsKhfZp3o,https://www.youtube.com/watch?v=p8IsKhfZp3o,MIND VOICE - STAND UP,バルスバルス,227,15784,,
4,0,451,ggHIsQy7Db8,https://www.youtube.com/watch?v=ggHIsQy7Db8,Samantha J - Tight Skirt VOSTFR (Traduction),PepseeActus,226,67397,,
4,0,457,_MV0BuKm0VE,https://www.youtube.com/watch?v=_MV0BuKm0VE,Nicky Romero & Sunnery James & Ryan Marciano ft Fast Eddie-S O T (Original Mix) Videomix Dj Touch,Dj Touch,307,3584,,
4,0,4161,OZgTkXPsg0U,https://www.youtube.com/watch?v=OZgTkXPsg0U,Lilian Dobanda - Instrainati | Official Music Video,Lilian Dobândă,283,34165,,
4,0,3099,zUwmJd2CnEw,https://www.youtube.com/watch?v=zUwmJd2CnEw,Gin Dutch - Fallin' (Official Video),Gin Dutch,241,9139,,
4,0,942,ttH1qZ4XNRM,https://www.youtube.com/watch?v=ttH1qZ4XNRM,Kymai - Ca libère (Clip Officiel Original Mix)[Just Winner],justwinnerTV,191,1700913,,
4,0,1955,AoQRwjwm8lI,https://www.youtube.com/watch?v=AoQRwjwm8lI,So Confused - STON (Official Video),ZedBeatsOfficial,381,7535,,
4,0,2828,_61HkSJ2uXQ,https://www.youtube.com/watch?v=_61HkSJ2uXQ,Anavrin - Mesto idej,AnavrinOfficial,260,34708,,
4,0,658,4piqHmJJ-sc,https://www.youtube.com/watch?v=4piqHmJJ-sc,London Money Aujla feat Nesdi jones YO YO Honey Singh official video HD,Fight Club,279,6641,,
4,0,1704,fU1rcy8xyXw,https://www.youtube.com/watch?v=fU1rcy8xyXw,Nicky Romero vs Krewella - Legacy (Official Music Video) + Lyrics,SmashtheHouse,191,6714,,
4,0,2306,LnPUunRx7OQ,https://www.youtube.com/watch?v=LnPUunRx7OQ,Paul Lekakis - Meet Me On The Dancefloor (Manny Lehman Mixshow) Movie Mashup by Grant Smith,GRANT SMITH,324,2065,,
4,0,3975,HT-oH-spi4g,https://www.youtube.com/watch?v=HT-oH-spi4g,3IONES - New Greek Greece Song Giati (Γιατί) Rec 2016,3iones,231,18214,,
4,0,1392,aMiUOwiAHFQ,https://www.youtube.com/watch?v=aMiUOwiAHFQ,Deniz - Sen Ve Ben Klip 2011,KurdishTv1,289,2430,,
4,0,2252,m87Bd-TTAdQ,https://www.youtube.com/watch?v=m87Bd-TTAdQ,"Czemu Nie? - Bagaż (prod. Bartas, feat. Specyfik, Pafarazzi)",tegonieznosisz,263,16552,,
4,0,244,C8ZKwUYMkKw,https://www.youtube.com/watch?v=C8ZKwUYMkKw,Plan B 'Es un secreto' OFFICIAL VIDEO,Bladymir Alejandro,214,13572,,
4,0,694,YhbJ6mN_YpA,https://www.youtube.com/watch?v=YhbJ6mN_YpA,Grupo Extra - No Se Como Me Enamore (JVP),JORGE VALENCIA,234,104115,,
4,0,3044,HRceArdUqAA,https://www.youtube.com/watch?v=HRceArdUqAA,TK - N Cash - Certified (Official Video) - Dir By. Joseph McFashion,4SHO MAGAZINE,170,75752,,
4,0,3923,HQKYdqqqIFc,https://www.youtube.com/watch?v=HQKYdqqqIFc,КРАЮ МІЙ | Маханаим | COVER BY INSTALGOD BAND,InstalGod.tv,212,17830,,
4,0,1783,gssFud8RmZE,https://www.youtube.com/watch?v=gssFud8RmZE,JEE KARDA (BADLAPUR) REMIX BY DJ CHETAS,DJ STREAM,152,6959,,
4,0,2113,l3mNf4LbXos,https://www.youtube.com/watch?v=l3mNf4LbXos,Part Six - Showtime (Official Video),flashentertainmenttv,203,19042,,
4,0,604,N2kl7tqpnY4,https://www.youtube.com/watch?v=N2kl7tqpnY4,The City Harmonic - A City On A Hill (Official Music Video),thecityharmonic,252,283099,,
4,0,976,drAxuE7DtbA,https://www.youtube.com/watch?v=drAxuE7DtbA,MC Jota Quer Luxo Nois Tem (Clipe Oficial Full HD) Kondzilla,Conexão Do Funk,198,7597,,
4,0,1941,jGWfd1qQKZE,https://www.youtube.com/watch?v=jGWfd1qQKZE,We Singing Colors - Cantec de seara / feat. Platonic Scale,We Singing Colors,357,40444,,
4,0,2721,-ja5GGV0I2M,https://www.youtube.com/watch?v=-ja5GGV0I2M,FEVER DREAMER - A Month of Sunshine (Official Music Video),SUMERIAN,243,137368,,
4,0,2760,4-WJ9lS8Iqc,https://www.youtube.com/watch?v=4-WJ9lS8Iqc,ตัวอย่าง มึงกู เพื่อนกันจนวันตาย [HD],MTUBESTV,156,194019,,
4,1,2380,4zqYq87QajU,https://www.youtube.com/watch?v=4zqYq87QajU,R-BIT(SU) - Батарейка разряжена(батл),alekst3000,134,1384,,
